ID,Absatz,Wobei handelt es sich bei Künstlicher Intelligenz? Wird sie ein Segen für die Menschheit sein und intelligente Lösungen komplexer Probleme liefern?
7.137,"Ich habe aus der Kritik der reinen Vernunft gelernt, daß Philosophie nicht etwa eine Wissenschaft der Vorstellungen, Begriffe und Ideen, oder eine Wissenschaft aller Wissenschaften, oder sonst etwas Ähnliches sei; sondern eine Wissenschaft des Menschen, seines Vorstellens, Denkens und Handelns; - sie soll den Menschen nach allen seinen Bestandtheilen darstellen, wie er ist und sein soll, d. h. sowohl nach seinen Naturbestimmungen, als auch nach seinem Moralitäts- und Freiheitsverhältniß. Hier wies nun die alte Philosophie dem Menschen einen ganz unrichtigen Standpunkt in der Welt an, indem sie ihn in dieser zu einer Maschine machte, die als solche gänzlich von der Welt oder von den Außendingen und Umständen abhängig sein mußte; sie machte also den Menschen zu einem beinahe bloß passiven Theile der Welt. - Jetzt erschien die Kritik der Vernunft und bestimmte dem Menschen in der Welt eine durchaus active Existenz. Der Mensch selbst ist ursprünglich Schöpfer aller seiner Vorstellungen und Begriffe und soll einziger Urheber aller seiner Handlungen sein. Jenes ""ist"" und dieses ""soll"" führt auf zwei ganz verschiedene Bestimmungen am Menschen. Wir bemerken daher auch im Menschen zweierlei ganz verschiedenartige Theile, nämlich auf der einen Seite Sinnlichkeit und Verstand und auf der andern Vernunft und freien Willen, die sich sehr wesentlich von einander unterscheiden. In der Natur ist alles; es ist von keinem Soll in ihr die Rede; Sinnlichkeit und Verstand gehen aber nur immer darauf aus, zu bestimmen, was und wie es ist; sie müssen also für die Natur, für diese Erdenwelt, bestimmt sein und mithin zu ihr gehören. Die Vernunft will beständig ins Übersinnliche, wie es wohl über die sinnliche Natur hinaus beschaffen sein möchte: sie scheint also , obzwar ein theoretisches Vermögen, dennoch gar nicht für diese Sinnlichkeit bestimmt zu sein; der freie Wille aber besteht ja in einer Unabhängigkeit von den Außendingen; diese sollen nicht Triebfedern des Handlens für den Menschen sein; er kann also noch weniger zur Natur gehören. Aber wohin denn? Der Mensch muß für zwei ganz verschiedene Welten bestimmt sein, einmal für das Reich der Sinne und des Verstandes, also für diese Erdenwelt: dann aber auch noch für eine andere Welt, die wir nicht kennen, für ein Reich der Sitten.",5
3.949,"Dieser Beweis verdient jederzeit mit Achtung genannt zu werden. Er ist der älteste, klärste und der gemeinen Menschenvernunft am meisten angemessene. Er belebt das Studium der Natur, so wie er selbst von diesem sein Dasein hat und dadurch immer neue Kraft bekommt. Er bringt Zwecke und Absichten dahin, wo sie unsere Beobachtung nicht von selbst entdeckt hätte, und erweitert unsere Naturkenntnisse durch den Leitfaden einer besonderen Einheit, deren Princip außer der Natur ist. Diese Kenntnisse wirken aber wieder auf ihre Ursache, nämlich die veranlassende Idee, zurück und vermehren den Glauben an einen höchsten Urheber bis zu einer unwiderstehlichen Überzeugung.",6
8.37,"Am Menschen (als dem einzigen vernünftigen Geschöpf auf Erden) sollten sich diejenigen Naturanlagen, die auf den Gebrauch seiner Vernunft abgezielt sind, nur in der Gattung, nicht aber im Individuum vollständig entwickeln. Die Vernunft in einem Geschöpfe ist ein Vermögen, die Regeln und Absichten des Gebrauchs aller seiner Kräfte weit über den Naturinstinct zu erweitern, und kennt keine Grenzen ihrer Entwürfe. Sie wirkt aber selbst nicht instinctmäßig, sondern bedarf Versuche, Übung und Unterricht, um von einer Stufe der Einsicht zur andern allmählig fortzuschreiten. Daher würde ein jeder Mensch unmäßig lange leben müssen, um zu lernen, wie er von allen seinen Naturanlagen einen vollständigen Gebrauch machen solle; oder wenn die Natur seine Lebensfrist nur kurz angesetzt hat (wie es wirklich geschehen ist), so bedarf sie vielleicht einer unabsehlichen Reihe von Zeugungen, deren eine der andern ihre Aufklärung überliefert, um endlich ihre Keime in unserer Gattung zu derjenigen Stufe der Entwicklung zu treiben, welche ihrer Absicht vollständig angemessen ist. Und dieser Zeitpunkt muß wenigstens in der Idee des Menschen das Ziel seiner Bestrebungen sein, weil sonst die Naturanlagen größtentheils als vergeblich und zwecklos angesehen werden müßten; welches alle praktischen Principien aufheben und dadurch die Natur, deren Weisheit in Beurtheilung aller übrigen Anstalten sonst zum Grundsatze dienen muß, am Menschen allein eines kindischen Spiels verdächtig machen würde.",4
8.629,"Was ist Philosophie, als Lehre, die unter allen Wissenschaften das größte Bedürfniß der Menschen ausmacht?",0
2.213,1. Das nothwendige Wesen ist ein Geist.,0
9.40,Die Logik wird eingetheilt,0
9.245,"Wie Wahrheit möglich sei, das ist leicht einzusehen, da hier der Verstand nach seinen wesentlichen Gesetzen handelt.",0
4.1260,Allgemeiner Zusatz zur Dynamik.,0
9.61,"Was endlich die Geschichte der Logik betrifft, so wollen wir hierüber nur Folgendes anführen:",0
3.694,"Es ist keine Freiheit, sondern alles in der Welt geschieht lediglich nach Gesetzen der Natur.",6
9.2441,"Was ist denn aber Religion? Religion ist das Gesetz in uns, in so fern es durch einen Gesetzgeber und Richter über uns Nachdruck erhält; sie ist eine auf die Erkenntniß Gottes angewandte Moral. Verbindet man Religion nicht mit Moralität, so wird Religion blos zur Gunstbewerbung. Lobpreisungen, Gebete, Kirchengehen sollen nur dem Menschen neue Stärke, neuen Muth zur Besserung geben, oder der Ausdruck eines von der Pflichtvorstellung beseelten Herzens sein. Sie sind nur Vorbereitungen zu guten Werken, nicht aber selbst gute Werke, und man kann dem höchsten Wesen nicht anders gefällig werden, als dadurch daß man ein besserer Mensch werde.",0
5.623,"§ 45. Schöne Kunst ist eine Kunst, sofern sie zugleich Natur zu sein scheint.",0
9.102,"Denn Wissenschaft hat einen innern, wahren Werth nur als Organ der Weisheit. Als solches ist sie ihr aber auch unentbehrlich, so da man wohl behaupten darf: Weisheit ohne Wissenschaft sei ein Schattenri von einer Vollkommenheit, zu der wir nie gelangen werden.",6
7.463,"Ein richtiger Verstand, geübte Urtheilskraft und gründliche Vernunft machen den ganzen Umfang des intellectuellen Erkenntnißvermögens aus; vornehmlich sofern dieses auch als Tüchtigkeit zu Beförderung des Praktischen, d. i. zu Zwecken, beurtheilt wird.",5
9.84,"Man frägt doch immer am Ende, wozu dient das Philosophiren und der Endzweck desselben die Philosophie selbst als Wissenschaft nach dem Schulbegriffe betrachtet?",0
8.681,"Philosophie als Lehre einer Wissenschaft kann so wie jede andere Doctrin zu allerlei beliebigen Zwecken als Werkzeug dienen, hat aber in dieser Hinsicht nur einen bedingten Werth. - Wer dieses oder jenes Product beabsichtigt, muß so oder so dabei zu Werke gehen, und wenn man hiebei nach Principien verfährt, so wird sie auch eine praktische Philosophie heißen können und hat ihren Werth, wie jede andere Waare und Arbeit, womit Verkehr getrieben werden kann.",0
9.86,"Der Vernunftkünstler oder, wie Sokrates ihn nennt, der Philodox, strebt bloß nach speculativem Wissen, ohne darauf zu sehen, wie viel das Wissen zum letzten Zwecke der menschlichen Vernunft beitrage; er giebt Regeln für den Gebrauch der Vernunft zu allerlei beliebigen Zwecken. Der praktische Philosoph, der Lehrer der Weisheit durch Lehre und Beispiel, ist der eigentliche Philosoph. Denn Philosophie ist die Idee einer vollkommenen Weisheit, die uns die letzten Zwecke der menschlichen Vernunft zeigt.",3
9.104,"Philosophie ist die einzige Wissenschaft, die uns diese innere Genugthuung zu verschaffen weiß, denn sie schließt gleichsam den wissenschaftlichen Zirkel und durch sie erhalten sodann erst die Wissenschaften Ordnung und Zusammenhang.",0
9.2302,"4) Muß man auf die Moralisirung sehen. Der Mensch soll nicht blos zu allerlei Zwecken geschickt sein, sondern auch die Gesinnung bekommen, daß er nur lauter gute Zwecke erwähle. Gute Zwecke sind diejenigen, die nothwendigerweise von Jedermann gebilligt werden, und die auch zu gleicher Zeit Jedermanns Zwecke sein können.",0
9.401,"Es giebt Wissenschaften, die keine Hypothesen erlauben, wie z. B. die Mathematik und Metaphysik. Aber in der Naturlehre sind sie nützlich und unentbehrlich.",0
5.928,"Die Physikotheologie ist der Versuch der Vernunft, aus den Zwecken der Natur (die nur empirisch erkannt werden können) auf die oberste Ursache der Natur und ihre Eigenschaften zu schließen. Eine Moraltheologie (Ethikotheologie) wäre der Versuch, aus dem moralischen Zwecke vernünftiger Wesen in der Natur (der a priori erkannt werden kann) auf jene Ursache und ihre Eigenschaften zu schließen.",0
3.55,"Wie ist reine Mathematik möglich? Wie ist reine Naturwissenschaft möglich? Von diesen Wissenschaften, da sie wirklich gegeben sind, läßt sich nun wohl geziemend fragen: wie sie möglich sind; denn daß sie möglich sein müssen, wird durch ihre Wirklichkeit bewiesen. *) Was aber Metaphysik betrifft, so muß ihr bisheriger schlechter Fortgang, und weil man von keiner einzigen bisher vorgetragenen, was ihren wesentlichen Zweck angeht, sagen kann, sie sei wirklich vorhanden, einen jeden mit Grunde an ihrer Möglichkeit zweifeln lassen.",0
9.828,"Anmerkung. Die analytische Methode heißt auch sonst die Methode des Erfindens. Für den Zweck der Popularität ist die analytische, für den Zweck der wissenschaftlichen und systematischen Bearbeitung des Erkenntnisses aber ist die synthetische Methode angemessener.",4
9.137,"Unser Zeitalter ist das Zeitalter der Kritik, und man muß sehen, was aus den kritischen Versuchen unsrer Zeit, in Absicht auf Philosophie und Metaphysik insbesondre, werden wird.",6
5.835,"Was wollen alle jene Systeme? Sie wollen unsere teleologischen Urtheile über die Natur erklären und gehen damit so zu Werke, daß ein Theil die Wahrheit derselben läugnet, mithin sie für einen Idealism der Natur (als Kunst vorgestellt) erklärt; der andere Theil sie als wahr anerkennt und die Möglichkeit einer Natur nach der Idee der Endursachen darzuthun verspricht.",0
9.83,"Philosophie ist also das System der philosophischen Erkenntnisse oder der Vernunfterkenntnisse aus Begriffen. Das ist der Schulbegriff von dieser Wissenschaft. Nach dem Weltbegriffe ist sie die Wissenschaft von den letzten Zwecken der menschlichen Vernunft. Dieser hohe Begriff giebt der Philosophie würde, d. i. einen absoluten Werth. Und wirklich ist sie es auch, die allein nur innern Werth hat, und allen andern Erkenntnissen erst einen Werth giebt.",0
9.2285,"Ein Entwurf zu einer Theorie der Erziehung ist ein herrliches Ideal, und es schadet nichts, wenn wir auch nicht gleich im Stande sind, es zu realisiren. Man muß nur nicht gleich die Idee für schimärisch halten und sie als einen schönen Traum verrufen, wenn auch Hindernisse bei ihrer Ausführung eintreten.",0
8.631,Von den übersinnlichen Gegenständen unserer Erkenntniß.,6
3.714,"Es existirt überall kein schlechthin nothwendiges Wesen weder in der Welt, noch außer der Welt als ihre Ursache.",0
9.1982,1. Quecksilber.,0
9.2188,Das Land Natal,0
7.756,Von der Leitung der Natur zur Physiognomik.,0
7.690,Von dem höchsten physischen Gut.,0
1.452,"Obgleich die bisherige Betrachtungen und Beweise von der Art sind, daß sie, so viel als nur die Natur der",0
9.1510,Noch immer verändert sich die Gestalt der Erde und zwar vorzüglich durch folgende Ursachen:,0
8.618,Von der physischen Wirkung der Philosophie.,0
4.647,Wie sind synthetische Sätze a priori möglich?,0
6.28,"Es liegt aber der Sittenlehre überhaupt viel daran, keine moralische Mitteldinge weder in Handlungen ( adiaphora ) noch in menschlichen Charakteren, so lange es möglich ist, einzuräumen: weil bei einer solchen Doppelsinnigkeit alle Maximen Gefahr laufen, ihre Bestimmtheit und Festigkeit einzubüßen. Man nennt gemeiniglich die, welche dieser strengen Denkungsart zugethan sind (mit einem Namen, der einen Tadel in sich fassen soll, in der That aber Lob ist): Rigoristen; und so kann man ihre Antipoden Latitudinarier nennen. Diese sind also entweder Latitudinarier der Neutralität und mögen Indifferentisten, oder der Coalition und können Synkretisten genannt werden. *)",0
9.1153,"Anmerkung 1. Sind die Naturforscher noch über irgend etwas in Ungewißheit: so ist es die Natur und das Wesen des Lichts, von dem es noch erst zur Evidenz muß erwiesen werden, ob wir es auf einen eigenthümlichen Stoff zurückzuführen haben, oder ob es eine bloße Modification des Wärmestoffes ist, oder ein Accidenz, eine Wirkung u. s. w. anderer Stoffe. Die im Paragraph selbst vorgetragene Eulerische Hypothese hat indessen fast gänzlich ihr Ansehen verloren, und die Newtonische ist dagegen durch die neuesten chemischen Untersuchungen insofern als die wahrscheinlichste erschienen, daß das Licht nämlich etwas Materielles sei, das man als vom Wärmestoffe verschieden zu betrachten hat. Das Umständlichere hierüber findet man bei Gehler a. a. O. Art. Licht im Werke selbst und im Supplementbande unter demselben Artikel.",0
4.400,"Man erlaube mir, die Stelle, welche wir einem Begriffe entweder in der Sinnlichkeit, oder im reinen Verstande ertheilen, den transscendentalen Ort zu nennen. Auf solche Weise wäre die Beurtheilung dieser Stelle, die jedem Begriffe nach Verschiedenheit seines Gebrauchs zukommt, und die Anweisung nach Regeln, diesen Ort allen Begriffen zu bestimmen, die transscendentale Topik; eine Lehre, die vor Erschleichungen des reinen Verstandes und daraus entspringenden Blendwerken gründlich bewahren würde, indem sie jederzeit unterschiede, welcher Erkenntnißkraft die Begriffe eigentlich angehören. Man kann einen jeden Begriff, einen jeden Titel, darunter viele Erkenntnisse gehören, einen logischen Ort nennen. Hierauf gründet sich die logische Topik des Aristoteles, deren sich Schullehrer und Redner bedienen konnten, um unter gewissen Titeln des Denkens nachzusehen, was sich am besten für eine vorliegende Materie schickte, und darüber mit einem Schein von Gründlichkeit zu vernünfteln oder wortreich zu schwatzen.",3
3.30,"Es ist also wenigstens eine der näheren Untersuchung noch benöthigte und nicht auf den ersten Anschein sogleich abzufertigende Frage: ob es ein dergleichen von der Erfahrung und selbst von allen Eindrücken der Sinne unabhängiges Erkenntniß gebe. Man nennt solche Erkenntnisse a priori, und unterscheidet sie von den empirischen, die ihre Quellen a posteriori, nämlich in der Erfahrung, haben.",6
7.803,"Ich habe mich bei diesem Titel der Charakteristik länger aufgehalten, als es für die übrigen Abschnitte der Anthropologie proportionirlich scheinen mag; aber die Natur hat auch in diese ihre Ökonomie einen so reichen Schatz von Veranstaltungen zu ihrem Zweck, der nichts Geringeres ist als die Erhaltung der Art, hinein gelegt, daß bei Gelegenheit näherer Nachforschungen es noch lange Stoff gnug zu Problemen geben wird, die Weisheit der sich nach und nach entwickelnden Naturanlagen zu bewundern und praktisch zu gebrauchen.",6
8.238,"Soviel zur Vertheidigung meines Begriffs von der Ableitung der erblichen Mannigfaltigkeit organischer Geschöpfe einer und derselben Naturgattung ( Species naturalis , so fern sie durch ihr Zeugungsvermögen in Verbindung stehen und von einem Stamme entsprossen sein *) können) zum Unterschiede von der Schulgattung ( Species artificialis , so fern sie unter einem gemeinschaftlichen Merkmale der bloßen Vergleichung stehen), davon die erstere zur Naturgeschichte, die zweite zur Naturbeschreibung gehört. Jetzt noch etwas über das eigne System des Hrn. F. von dem Ursprunge desselben. Darin sind wir beide einig, daß alles in einer Naturwissenschaft natürlich müsse erklärt werden, weil es sonst zu dieser Wissenschaft nicht gehören würde. Diesem Grundsatze bin ich so sorgfältig gefolgt, daß auch ein scharfsinniger Mann (Hr. O. C. R. Büsching in der Recension meiner obgedachten Schrift) wegen der Ausdrücke von Absichten, von Weisheit und Vorsorge etc. der Natur mich zu einem Naturalisten, doch mit dem Beisatze von eigner Art macht, weil ich in Verhandlungen, welche die bloße Naturkenntnisse und, wieweit diese reichen, angehen (wo es ganz schicklich ist, sich teleologisch auszudrücken), es nicht rathsam finde eine theologische Sprache zu führen; um jeder Erkenntnißart ihre Grenzen ganz sorgfältig zu bezeichnen.",0
6.1058,"Wenn von Pflichtgesetzen (nicht von Naturgesetzen) die Rede ist und zwar im äußeren Verhältniß der Menschen gegen einander, so betrachten wir uns in einer moralischen (intelligibelen) Welt, in welcher nach der Analogie mit der physischen die Verbindung vernünftiger Wesen (auf Erden) durch Anziehung und Abstoßung bewirkt wird. Vermöge des Princips der Wechselliebe sind sie angewiesen sich einander beständig zu nähern, durch das der Achtung, die sie einander schuldig sind, sich im Abstande von einander zu erhalten; und sollte eine dieser großen sittlichen Kräfte sinken, ""so würde dann das nichts (der Immoralität) mit aufgesperrtem Schlund der (moralischen) Wesen ganzes Reich wie einen Tropfen Wasser trinken"" (wenn ich mich hier der Worte Hallers, nur in einer anderen Beziehung, bedienen darf).",0
5.678,"Aber an dem Reize und der Gemüthsbewegung, welche die Musik hervorbringt, hat die Mathematik sicherlich nicht den mindesten Antheil; sondern sie ist nur die unumgängliche Bedingung ( conditio sine qua non ) derjenigen Proportion der Eindrücke in ihrer Verbindung sowohl als ihrem Wechsel, wodurch es möglich wird sie zusammen zu fassen und zu verhindern, daß diese einander nicht zerstören, sondern zu einer continuirlichen Bewegung und Belebung des Gemüths durch damit consonirende Affecten und hiemit zu einem behaglichen Selbstgenusse zusammenstimmen.",0
4.217,"Verstand und Urtheilskraft haben demnach ihren Kanon des objectiv gültigen, mithin wahren Gebrauchs in der transscendentalen Logik und gehören also in ihren analytischen Theil. Allein Vernunft in ihren Versuchen, über Gegenstände a priori etwas auszumachen und das Erkenntniß über die Grenzen möglicher Erfahrung zu erweitern, ist ganz und gar dialektisch, und ihre Scheinbehauptungen schicken sich durchaus nicht in einen Kanon, dergleichen doch die Analytik enthalten soll.",6
3.266,"Verstand und Urtheilskraft haben demnach ihren Kanon des objectiv gültigen, mithin wahren Gebrauchs in der transscendentalen Logik und gehören also in ihren analytischen Theil. Allein Vernunft in ihren Versuchen, über Gegenstände a priori etwas auszumachen und das Erkenntniß über die Grenzen möglicher Erfahrung zu erweitern, ist ganz und gar dialektisch, und ihre Scheinbehauptungen schicken sich durchaus nicht in einen Kanon, dergleichen doch die Analytik enthalten soll.",6
7.22,In tiefster Devotion ersterbe ich etc. Die weitere Geschichte des fortwährenden Treibens zu einem sich immer mehr von der Vernunft entfernenden Glauben ist bekannt.,0
2.110,2. Vernünftig ist ein Merkmal der menschlichen Seele;,0
1.479,"Wir sind in dem Mittelpunkte der artigsten Aufgaben, welche die abstracte Mechanik vorher niemals hat gewähren können.",0
3.903,Es sind nur drei Beweisarten vom Dasein Gottes aus speculativer Vernunft möglich.,0
7.374,"Die Trunkenheit ist der widernatürliche Zustand des Unvermögens seine Sinnenvorstellungen nach Erfahrungsgesetzen zu ordnen, so fern er die Wirkung eines übermäßig genommenen Genießmittels ist.",0
2.566,"Vierte Betrachtung. Von der Deutlichkeit und Gewißheit, deren die erste Gründe der natürlichen Gottesgelahrtheit und Moral fähig sind.",0
3.1103,Von der Unmöglichkeit einer sceptischen Befriedigung der mit sich selbst veruneinigten reinen Vernunft.,6
9.1748,"Diese Thiere sind schwärzlich von Farbe oder völlig schwarz. An Größe sind sie den Hunden gleich und unersättlich wegen ihrer geraden Gedärme, daher sie sich auch des Unflathes, wie der Wolf und Löwe, bald entledigen.",0
6.1102,"Würde es mit dem Wohl der Welt überhaupt nicht besser stehen, wenn alle Moralität der Menschen nur auf Rechtspflichten, doch mit der größten Gewissenhaftigkeit eingeschränkt, das Wohlwollen aber unter die Adiaphora gezählt würde? Es ist nicht so leicht zu übersehen, welche Folge es auf die Glückseligkeit der Menschen haben dürfte. Aber in diesem Fall würde es doch wenigstens an einer großen moralischen Zierde der Welt, nämlich der Menschenliebe, fehlen, welche also für sich, auch ohne die Vortheile (der Glückseligkeit) zu berechnen, die Welt als ein schönes moralisches Ganze in ihrer ganzen Vollkommenheit darzustellen erfordert wird.",0
7.693,"Die stärksten Antriebe der Natur, welche die Stelle der unsichtbar das menschliche Geschlecht durch eine höhere, das physische Weltbeste allgemein besorgende Vernunft (des Weltregierers) vertreten, ohne daß menschliche Vernunft dazu hinwirken darf, sind Liebe zum Leben und Liebe zum Geschlecht; die erstere um das Individuum, die zweite um die Species zu erhalten, da dann durch Vermischung der Geschlechter im Ganzen das Leben unserer mit Vernunft begabten Gattung fortschreitend erhalten wird, unerachtet diese absichtlich an ihrer eigenen Zerstörung (durch Kriege) arbeitet; welche doch die immer an Cultur wachsenden vernünftigen Geschöpfe selbst mitten in Kriegen nicht hindert, dem Menschengeschlecht in kommenden Jahrhunderten einen Glückseligkeitszustand, der nicht mehr rückgängig sein wird, im Prospect unzweideutig vorzustellen.",0
9.553,"Anmerkung 1. Es kann auch theoretische Postulate geben zum Behuf der praktischen Vernunft. Dieses sind theoretische, in praktischer Vernunftabsicht nothwendige Hypothesen, wie die des Daseins Gottes, der Freiheit und einer andern Welt.",6
2.238,"Wenn man bei dergleichen Anordnungen der Natur berechtigt ist nach einem Grunde einer so weit erstreckten Übereinstimmung des Mannigfaltigen zu fragen, soll man es denn weniger sein bei Wahrnehmung des Ebenmaßes und der Einheit in den unendlich vielfältigen Bestimmungen des Raums? Ist diese Harmonie darum weniger befremdlich, weil sie nothwendig ist? Ich halte dafür, sie sei es darum nur desto mehr. Und weil dasjenige Viele, davon jedes seine besondere und unabhängige Nothwendigkeit hätte, nimmermehr Ordnung, Wohlgereimtheit und Einheit in den gegenseitigen Beziehungen haben könnte, wird man dadurch nicht eben sowohl, wie durch die Harmonie in den zufälligen Anstalten der Natur auf die Vermuthung eines obersten Grundes selbst der Wesen der Dinge geführt, da die Einheit des Grundes auch Einheit in dem Umfange aller Folgen veranlaßt?",0
5.19,"Doch da es in diesem philosophischen und kritischen Zeitalter schwerlich mit jenem Empirism ernst sein kann, und er vermuthlich nur zur Übung der Urtheilskraft, und um durch den Contrast die Nothwendigkeit rationaler Principien a priori in ein helleres Licht zu setzen, aufgestellt wird: so kann man es denen doch Dank wissen, die sich mit dieser sonst eben nicht belehrenden Arbeit bemühen wollen.",0
1.856,"Wir haben die bisherige Muthmaßungen treulich an dem Leitfaden der physischen Verhältnisse fortgeführt, welcher sie auf dem Pfade einer vernünftigen Glaubwürdigkeit erhalten hat. Wollen wir uns noch eine Ausschweifung aus diesem Gleise in das Feld der Phantasie erlauben? Wer zeigt uns die Grenze, wo die gegründete Wahrscheinlichkeit aufhört und die willkürlichen Erdichtungen anheben? Wer ist so kühn, eine Beantwortung der Frage zu wagen: ob die Sünde ihre Herrschaft auch in den andern Kugeln des Weltbaues ausübe, oder ob die Tugend allein ihr Regiment daselbst aufgeschlagen?",0
9.13,"Welche Bewandtniß es nun aber auch immer hiermit haben möge, so viel ist ausgemacht: in jedem Fall bleibt die Logik im Innern ihres Bezirkes, was das Wesentliche betrifft, unverändert; und die transscendentale Frage: ob die logischen Sätze noch einer Ableitung aus einem höhern, absoluten Princip fähig und bedürftig sind, kann auf sie selbst und die Gültigkeit und Evidenz ihrer Gesetze so wenig Einfluß haben, als auf die reine Mathematik in Ansehung ihres wissenschaftlichen Gehalts die transscendentale Aufgabe hat: Wie sind synthetische Urtheile a priori in der Mathematik möglich? So wie der Mathematiker als Mathematiker, so kann auch der Logiker als Logiker innerhalb des Bezirks seiner Wissenschaft beim Erklären und Beweisen seinen Gang ruhig und sicher fortgehen, ohne sich um die außer seiner Sphäre liegende transscendentale Frage des Transscendental-Philosophen und Wissenschaftslehrers bekümmern zu dürfen: Wie reine Mathematik oder reine Logik als Wissenschaft möglich sei?",0
5.274,"Hiemit endige ich also mein ganzes kritisches Geschäft. Ich werde ungesäumt zum doctrinalen schreiten, um wo möglich meinem zunehmenden Alter die dazu noch einigermaßen günstige Zeit noch abzugewinnen. Es versteht sich von selbst, daß für die Urtheilskraft darin kein besonderer Theil sei, weil in Ansehung derselben die Kritik statt der Theorie dient; sondern daß nach der Eintheilung der Philosophie in die theoretische und praktische und der reinen in eben solche Theile die Metaphysik der Natur und die der Sitten jenes Geschäft ausmachen werden.",0
3.947,"Würde das höchste Wesen in dieser Kette der Bedingungen stehen, so würde es selbst ein Glied der Reihe derselben sein und eben so, wie die niederen Glieder, denen es vorgesetzt ist, noch fernere Untersuchung wegen seines noch höheren Grundes erfordern. Will man es dagegen von dieser Kette trennen und als ein bloß intelligibeles Wesen nicht in der Reihe der Naturursachen mitbegreifen: welche Brücke kann die Vernunft alsdann wohl schlagen, um zu demselben zu gelangen, da alle Gesetze des Überganges von Wirkungen zu Ursachen, ja alle Synthesis und Erweiterung unserer Erkenntniß überhaupt auf nichts anderes als mögliche Erfahrung, mithin bloß auf Gegenstände der Sinnenwelt gestellt sind und nur in Ansehung ihrer eine Bedeutung haben können?",6
4.928,"Alle Gewerbe, Handwerke und Künste haben durch die Vertheilung der Arbeiten gewonnen, da nämlich nicht einer alles macht, sondern jeder sich auf gewisse Arbeit, die sich ihrer Behandlungsweise nach von andern merklich unterscheidet, einschränkt, um sie in der größten Vollkommenheit und mit mehrerer Leichtigkeit leisten zu können. Wo die Arbeiten so nicht unterschieden und vertheilt werden, wo jeder ein Tausendkünstler ist, da liegen die Gewerbe noch in der größten Barbarei. Aber ob dieses zwar für sich ein der Erwägung nicht unwürdiges Object wäre, zu fragen: ob die reine Philosophie in allen ihren Theilen nicht ihren besondern Mann erheische, um es um das Ganze des gelehrten Gewerbes nicht besser stehen würde, wenn die, so das Empirische mit dem Rationalen dem Geschmacke des Publicums gemäß nach allerlei ihnen selbst unbekannten Verhältnissen gemischt zu verkaufen gewohnt sind, die sich Selbstdenker, andere aber, die den bloß rationalen Theil zubereiten, Grübler nennen, gewarnt würden, nicht zwei Geschäfte zugleich zu treiben, die in der Art, sie zu behandeln, gar sehr verschieden sind, zu deren jedem vielleicht ein besonderes Talent erfordert wird, und deren Verbindung in einer Person nur Stümper hervorbringt: so frage ich hier doch nur, ob nicht die Natur der Wissenschaft es erfordere, den empirischen von dem rationalen Theil jederzeit sorgfältig abzusondern und vor der eigentlichen (empirischen) Physik eine Metaphysik der Natur, vor der praktischen Anthropologie aber eine Metaphysik der Sitten voranzuschicken, die von allem Empirischen sorgfältig gesäubert sein müßten, um zu wissen, wie viel reine Vernunft in beiden Fällen leisten könne, und aus welchen Quellen sie selbst diese ihre Belehrung a priori schöpfe, es mag übrigens das letztere Geschäfte von allen Sittenlehrern (deren Namen Legion heißt) oder nur von einigen, die Beruf dazu fühlen, getrieben werden.",0
5.616,"3) Wird auch Kunst vom Handwerke unterschieden; die erste heißt freie, die andere kann auch Lohnkunst heißen. Man sieht die erste so an, als ob sie nur als Spiel, d. i. Beschäftigung, die für sich selbst angenehm ist, zweckmäßig ausfallen (gelingen) könne; die zweite so, daß sie als Arbeit, d. i. Beschäftigung, die für sich selbst unangenehm (beschwerlich) und nur durch ihre Wirkung (z. B. den Lohn) anlockend ist, mithin zwangsmäßig auferlegt werden kann. Ob in der Rangliste der Zünfte Uhrmacher für Künstler, dagegen Schmiede für Handwerker gelten sollen: das bedarf eines andern Gesichtspunkts der Beurtheilung, als derjenige ist, den wir hier nehmen; nämlich die Proportion der Talente, die dem einen oder anderen dieser Geschäfte zum Grunde liegen müssen. Ob auch unter den sogenannten sieben freien Künsten nicht einige, die den Wissenschaften beizuzählen, manche auch, die mit Handwerken zu vergleichen sind, aufgeführt worden sein möchten: davon will ich hier nicht reden. Daß aber in allen freien Künsten dennoch etwas Zwangsmäßiges, oder, wie man es nennt, ein Mechanismus erforderlich sei, ohne welchen der Geist, der in der Kunst frei sein muß und allein das Werk belebt, gar keinen Körper haben und gänzlich verdunsten würde: ist nicht unrathsam zu erinnern (z. B. in der Dichtkunst die Sprachrichtigkeit und der Sprachreichthum, imgleichen die Prosodie und das Sylbenmaß), da manche neuere Erzieher eine freie Kunst am besten zu befördern glauben, wenn sie allen Zwang von ihr wegnehmen und sie aus Arbeit in bloßes Spiel verwandeln.",0
