ID,Absatz,Welche Aufgaben hat der Bundeskanzler aktuell außer Deutschland zu repräsentieren?
8.177,"Man muß gestehen: daß die größten Übel, welche gesittete Völker drücken, uns vom Kriege und zwar nicht so sehr von dem, der wirklich oder gewesen ist, als von der nie nachlassenden und sogar unaufhörlich vermehrten Zurüstung zum künftigen zugezogen werden. Hiezu werden alle Kräfte des Staats, alle Früchte seiner Cultur, die zu einer noch größeren Cultur gebraucht werden könnten, verwandt; der Freiheit wird an so viel Orten mächtiger Abbruch gethan und die mütterliche Vorsorge des Staats für einzelne Glieder in eine unerbittliche Härte der Forderungen verwandelt, indeß diese doch auch durch die Besorgniß äußerer Gefahr gerechtfertigt wird. Allein würde wohl diese Cultur, würde die enge Verbindung der Stände des gemeinen Wesens zur wechselseitigen Beförderung ihres Wohlstandes, würde die Bevölkerung, ja sogar der Grad der Freiheit, der, obgleich unter sehr einschränkenden Gesetzen, noch übrig ist, wohl angetroffen werden, wenn jener immer gefürchtete Krieg selbst den Oberhäuptern der Staaten diese Achtung für die Menschheit nicht abnöthigte? Man sehe nur Sina an, welches seiner Lage nach wohl etwa einmal einen unvorhergesehenen Überfall, aber keinen mächtigen Feind zu fürchten hat, und in welchem daher alle Spur von Freiheit vertilgt ist. Auf der Stufe der Cultur also, worauf das menschliche Geschlecht noch steht, ist der Krieg ein unentbehrliches Mittel, diese noch weiter zu bringen; und nur nach einer (Gott weiß wann) vollendeten Cultur würde ein immerwährender Friede für uns heilsam und auch durch jene allein möglich sein. Also sind wir, was diesen Punkt betrifft, an den Übeln doch wohl selbst Schuld, über die wir so bittere Klagen erheben; und die heilige Urkunde hat ganz recht, die Zusammenschmelzung der Völker in eine Gesellschaft und ihre völlige Befreiung von äußerer Gefahr, da ihre Cultur kaum angefangen hatte, als eine Hemmung aller ferneren Cultur und eine Versenkung in unheilbares Verderbniß vorzustellen.",0
7.137,"Ich habe aus der Kritik der reinen Vernunft gelernt, daß Philosophie nicht etwa eine Wissenschaft der Vorstellungen, Begriffe und Ideen, oder eine Wissenschaft aller Wissenschaften, oder sonst etwas Ähnliches sei; sondern eine Wissenschaft des Menschen, seines Vorstellens, Denkens und Handelns; - sie soll den Menschen nach allen seinen Bestandtheilen darstellen, wie er ist und sein soll, d. h. sowohl nach seinen Naturbestimmungen, als auch nach seinem Moralitäts- und Freiheitsverhältniß. Hier wies nun die alte Philosophie dem Menschen einen ganz unrichtigen Standpunkt in der Welt an, indem sie ihn in dieser zu einer Maschine machte, die als solche gänzlich von der Welt oder von den Außendingen und Umständen abhängig sein mußte; sie machte also den Menschen zu einem beinahe bloß passiven Theile der Welt. - Jetzt erschien die Kritik der Vernunft und bestimmte dem Menschen in der Welt eine durchaus active Existenz. Der Mensch selbst ist ursprünglich Schöpfer aller seiner Vorstellungen und Begriffe und soll einziger Urheber aller seiner Handlungen sein. Jenes ""ist"" und dieses ""soll"" führt auf zwei ganz verschiedene Bestimmungen am Menschen. Wir bemerken daher auch im Menschen zweierlei ganz verschiedenartige Theile, nämlich auf der einen Seite Sinnlichkeit und Verstand und auf der andern Vernunft und freien Willen, die sich sehr wesentlich von einander unterscheiden. In der Natur ist alles; es ist von keinem Soll in ihr die Rede; Sinnlichkeit und Verstand gehen aber nur immer darauf aus, zu bestimmen, was und wie es ist; sie müssen also für die Natur, für diese Erdenwelt, bestimmt sein und mithin zu ihr gehören. Die Vernunft will beständig ins Übersinnliche, wie es wohl über die sinnliche Natur hinaus beschaffen sein möchte: sie scheint also , obzwar ein theoretisches Vermögen, dennoch gar nicht für diese Sinnlichkeit bestimmt zu sein; der freie Wille aber besteht ja in einer Unabhängigkeit von den Außendingen; diese sollen nicht Triebfedern des Handlens für den Menschen sein; er kann also noch weniger zur Natur gehören. Aber wohin denn? Der Mensch muß für zwei ganz verschiedene Welten bestimmt sein, einmal für das Reich der Sinne und des Verstandes, also für diese Erdenwelt: dann aber auch noch für eine andere Welt, die wir nicht kennen, für ein Reich der Sitten.",0
6.170,"Von der Religion auf Erden (in der engsten Bedeutung des Worts) kann man keine Universalhistorie des menschlichen Geschlechts verlangen; denn die ist, als auf dem reinen moralischen Glauben gegründet, kein öffentlicher Zustand, sondern jeder kann sich der Fortschritte, die er in demselben gemacht hat, nur für sich selbst bewußt sein. Der Kirchenglaube ist es daher allein, von dem man eine allgemeine historische Darstellung erwarten kann, indem man ihn nach seiner verschiedenen und veränderlichen Form mit dem alleinigen, unveränderlichen, reinen Religionsglauben vergleicht. Von da an, wo der erstere seine Abhängigkeit von den einschränkenden Bedingungen des letztern und der Nothwendigkeit der Zusammenstimmung mit ihm öffentlich anerkennt, fängt die allgemeine Kirche an, sich zu einem ethischen Staat Gottes zu bilden und nach einem feststehenden Princip, welches für alle Menschen und Zeiten ein und dasselbe ist, zur Vollendung desselben fortzuschreiten. - Man kann voraussehen, daß diese Geschichte nichts, als die Erzählung von dem beständigen Kampf zwischen dem gottesdienstlichen und dem moralischen Religionsglauben sein werde, deren ersteren als Geschichtsglauben der Mensch beständig geneigt ist oben anzusetzen, anstatt daß der letztere seinen Anspruch auf den Vorzug, der ihm als allein seelenbesserndem Glauben zukommt, nie aufgegeben hat und ihn endlich gewiß behaupten wird.",0
8.31,Idee zu einer allgemeinen Geschichte in weltbürgerlicher Absicht. *),6
8.62,"Ein Fürst, der es seiner nicht unwürdig findet, zu sagen: daß er es für Pflicht halte, in Religionsdingen den Menschen nichts vorzuschreiben, sondern ihnen darin volle Freiheit zu lassen, der also selbst den hochmüthigen Namen der Toleranz von sich ablehnt, ist selbst aufgeklärt und verdient von der dankbaren Welt und Nachwelt als derjenige gepriesen zu werden, der zuerst das menschliche Geschlecht der Unmündigkeit wenigstens von Seiten der Regierung entschlug und jedem frei ließ, sich in allem, was Gewissensangelegenheit ist, seiner eigenen Vernunft zu bedienen. Unter ihm dürfen verehrungswürdige Geistliche unbeschadet ihrer Amtspflicht ihre vom angenommenen Symbol hier oder da abweichenden Urtheile und Einsichten in der Qualität der Gelehrten frei und öffentlich der Welt zur Prüfung darlegen; noch mehr aber jeder andere, der durch keine Amtspflicht eingeschränkt ist. Dieser Geist der Freiheit breitet sich auch außerhalb aus, selbst da, wo er mit äußeren Hindernissen einer sich selbst mißverstehenden Regierung zu ringen hat. Denn es leuchtet dieser doch ein Beispiel vor, daß bei Freiheit für die öffentliche Ruhe und Einigkeit des gemeinen Wesens nicht das Mindeste zu besorgen sei. Die Menschen arbeiten sich von selbst nach und nach aus der Rohigkeit heraus, wenn man nur nicht absichtlich künstelt, um sie darin zu erhalten.",3
1.796,"Es ist noch eine Hauptfrage, deren Auflösung in der Naturlehre des Himmels und in einer vollständigen Kosmogonie unentbehrlich ist. Woher wird nämlich der Mittelpunkt eines jeden Systems von einem flammenden Körper eingenommen? Unser planetischer Weltbau hat die Sonne zum Centralkörper, und die Fixsterne, die wir sehen, sind allem Ansehen nach Mittelpunkte ähnlicher Systematum.",0
7.714,"Physiologisch betrachtet versteht man, wenn vom Temperament die Rede ist, die körperliche Constitution (den starken oder schwachen Bau) und Complexion (das Flüssige, durch die Lebenskraft gesetzmäßig Bewegliche im Körper, worin die Wärme oder Kälte in Bearbeitung dieser Säfte mit begriffen ist).",0
7.463,"Ein richtiger Verstand, geübte Urtheilskraft und gründliche Vernunft machen den ganzen Umfang des intellectuellen Erkenntnißvermögens aus; vornehmlich sofern dieses auch als Tüchtigkeit zu Beförderung des Praktischen, d. i. zu Zwecken, beurtheilt wird.",0
9.1153,"Anmerkung 1. Sind die Naturforscher noch über irgend etwas in Ungewißheit: so ist es die Natur und das Wesen des Lichts, von dem es noch erst zur Evidenz muß erwiesen werden, ob wir es auf einen eigenthümlichen Stoff zurückzuführen haben, oder ob es eine bloße Modification des Wärmestoffes ist, oder ein Accidenz, eine Wirkung u. s. w. anderer Stoffe. Die im Paragraph selbst vorgetragene Eulerische Hypothese hat indessen fast gänzlich ihr Ansehen verloren, und die Newtonische ist dagegen durch die neuesten chemischen Untersuchungen insofern als die wahrscheinlichste erschienen, daß das Licht nämlich etwas Materielles sei, das man als vom Wärmestoffe verschieden zu betrachten hat. Das Umständlichere hierüber findet man bei Gehler a. a. O. Art. Licht im Werke selbst und im Supplementbande unter demselben Artikel.",0
9.1000,"Von dem Continente in dieser Bedeutung verschieden, benennt man mit diesem Namen auch jedes zusammenhängende Land von beträchtlicher Ausdehnung, das man eben dadurch von einem minder großen, vom Meere umflossenen Lande oder einer Insel unterscheidet. Will man demnach ein Land, das sich etwa 450 deutsche Meilen nach jeder Richtung ausdehnt (Siehe Philipps Reise nach Neu-Süd-Wallis in Forsters Magazin merkwürdiger neuer Reisebeschreibungen Band 1. Seite 6.) mit jenem Namen belegen: so hätten wir ein dreifaches Continent in letzterer Bedeutung. Das erste besteht aus den drei Welttheilen: Europa, Asien und Afrika, das andere aus Amerika, das dritte endlich aus Neuholland. Umgekehrt aber und wenigstens mit eben so vielem Rechte nennt man auch das gesammte feste Land eine Insel. Siehe DIONYSII Periegesis. v. 4.",0
9.871,"Sage ich z. B.: die Rinderart wird unter das Geschlecht der vierfüßigen Thiere oder auch unter die Gattung dieser Thiere mit gespaltenen Klauen gezählt: so ist dieses eine Eintheilung, die ich in meinem Kopfe mache, also eine logische Eintheilung. Das Systema naturae ist gleichsam eine Registratur des Ganzen, wo ich alle Dinge, ein jedes in seine ihm eigenthümlich zukommende Classe setze, mögen sie sich gleich auf der Erde in verschiedenen, weit von einander entlegenen Gegenden vorfinden.",0
6.710,"Der überwundene Staat, oder dessen Unterthanen verlieren durch die Eroberung des Landes nicht ihre staatsbürgerliche Freiheit, so daß jener zur Colonie, diese zu Leibeigenen abgewürdigt würden; denn sonst wäre es ein Strafkrieg gewesen, der an sich selbst widersprechend ist. Eine Colonie oder Provinz ist ein Volk, das zwar seine eigene Verfassung, Gesetzgebung, Boden hat, auf welchem die zu einem anderen Staat Gehörige nur Fremdlinge sind, der dennoch über jenes die oberste ausübende Gewalt hat. Der letztere heißt der Mutterstaat. Der Tochterstaat wird von jenem beherrscht, aber doch von sich selbst (durch sein eigenes Parlament, allenfalls unter dem Vorsitz eines Vicekönigs) regiert ( civitas hybrida ). Dergleichen war Athen in Beziehung auf verschiedene Inseln und ist jetzt Großbritannien in Ansehung Irlands.",5
9.364,"1) Formeln. Dieses sind Regeln, deren Ausdruck zum Muster der Nachahmung dient. Sie sind übrigens ungemein nützlich zur Erleichterung bei verwickelten Sätzen und der erleuchtetste Kopf sucht daher dergleichen zu erfinden.",0
7.762,"Es ist merkwürdig: daß die griechischen Künstler auch ein Ideal der Gesichtsbildung (für Götter und Heroen) im Kopfe hatten, welches immerwährende Jugend und zugleich von allen Affecten freie Ruhe - in Statüen Cameen und Intaglios -, ohne einen Reiz hineinzulegen, ausdrücken sollte. - Das griechische perpendiculäre Profil macht die Augen tiefer liegend, als es nach unserem Geschmack (der auf den Reiz angelegt ist) sein sollte, und selbst eine mediceische Venus entbehrt desselben. - Die Ursache davon mag sein: daß, da das Ideal eine bestimmte, unabänderliche Norm sein soll, eine aus dem Gesicht von der Stirn in einem Winkel abspringende Nase (wo dann der Winkel größer oder kleiner sein kann) keine bestimmte Regel der Gestalt, wie es doch das, was zur Norm gehört, erfordert, - abgeben würde. Auch haben die neueren Griechen unerachtet ihrer sonst dem übrigen Körperbau nach schönen Bildung doch jene ernste Perpendicularität des Profils in ihrem Gesichte nicht, welches jene Idealität in Ansehung der Kunstwerke als Urbilder zu beweisen scheint. - Nach diesen mythologischen Mustern kommen die Augen tiefer zu liegen und werden an der Nasenwurzel etwas in Schatten gestellt; dagegen man die für schön gehaltenen Gesichter der Menschen jetziger Zeiten mit einem kleinen Absprung der Nase von der Richtung der Stirn (Einbucht an der Nasenwurzel) schöner findet.",0
3.903,Es sind nur drei Beweisarten vom Dasein Gottes aus speculativer Vernunft möglich.,0
1.14,"Nach so großen Bemühungen, die sich die größten Männer um die Freiheit des menschlichen Verstandes gegeben haben, sollte man da wohl Ursache haben zu befürchten, daß ihnen der Erfolg derselben mißfallen werde?",0
8.187,Was heißt: Sich im Denken orientiren?,0
7.242,"Allen Versuchen aber, zu einer solchen Wissenschaft mit Gründlichkeit zu gelangen, stehen erhebliche, der menschlichen Natur selber anhängende Schwierigkeiten entgegen.",0
1.479,"Wir sind in dem Mittelpunkte der artigsten Aufgaben, welche die abstracte Mechanik vorher niemals hat gewähren können.",0
2.110,2. Vernünftig ist ein Merkmal der menschlichen Seele;,0
7.22,In tiefster Devotion ersterbe ich etc. Die weitere Geschichte des fortwährenden Treibens zu einem sich immer mehr von der Vernunft entfernenden Glauben ist bekannt.,0
5.692,Der Kritik der ästhetischen Urtheilskraft,0
2.566,"Vierte Betrachtung. Von der Deutlichkeit und Gewißheit, deren die erste Gründe der natürlichen Gottesgelahrtheit und Moral fähig sind.",0
6.584,"Die moralische Person, welche der Gerechtigkeit vorsteht, ist der Gerichtshof ( forum ) und im Zustande ihrer Amtsführung das Gericht ( iudicium ): alles nur nach Rechtsbedingungen a priori gedacht, ohne, wie eine solche Verfassung wirklich einzurichten und zu organisiren sei (wozu Statute, also empirische Principien, gehören), in Betrachtung zu ziehen.",0
5.268,"Es war also eigentlich der Verstand, der sein eigenes Gebiet und zwar im Erkenntnißvermögen hat, sofern er constitutive Erkenntnißprincipien a priori enthält, welcher durch die im Allgemeinen so benannte Kritik der reinen Vernunft gegen alle übrige Competenten in sicheren alleinigen Besitz gesetzt werden sollte. Eben so ist der Vernunft, welche nirgend als lediglich in Ansehung des Begehrungsvermögens constitutive Principien a priori enthält, in der Kritik der praktischen Vernunft ihr Besitz angewiesen worden.",0
6.699,"Wir werden also wohl dieses Recht von der Pflicht des Souveräns gegen das Volk (nicht umgekehrt) abzuleiten haben; wobei dieses dafür angesehen werden muß, daß es seine Stimme dazu gegeben habe, in welcher Qualität es, obzwar passiv (mit sich machen läßt), doch auch selbstthätig ist und den Souverän selbst vorstellt.",3
6.642,"Also sind es drei verschiedene Gewalten ( potestas legislatoria, executoria, iudiciaria ), wodurch der Staat ( civitas ) seine Autonomie hat, d. i. sich selbst nach Freiheitsgesetzen bildet und erhält. - In ihrer Vereinigung besteht das Heil des Staats ( salus reipublicae suprema lex est ); worunter man nicht das Wohl der Staatsbürger und ihre Glückseligkeit verstehen muß; denn die kann vielleicht (wie auch Rousseau behauptet) im Naturzustande, oder auch unter einer despotischen Regierung viel behaglicher und erwünschter ausfallen: sondern den Zustand der größten Übereinstimmung der Verfassung mit Rechtsprincipien versteht, als nach welchem zu streben uns die Vernunft durch einen kategorischen Imperativ verbindlich macht.",6
6.636,"Die drei Gewalten im Staate sind also erstlich einander, als so viel moralische Personen, beigeordnet ( potestates coordinatae ), d. i. die eine ist das Ergänzungsstück der anderen zur Vollständigkeit ( complementum ad sufficientiam ) der Staatsverfassung; aber zweitens auch einander untergeordnet ( subordinatae ), so daß eine nicht zugleich die Function der anderen, der sie zur Hand geht, usurpiren kann, sondern ihr eigenes Princip hat, d. i. zwar in der Qualität einer besonderen Person, aber doch unter der Bedingung des Willens einer oberen gebietet; drittens durch Vereinigung beider jedem Unterthanen sein Recht ertheilend.",6
5.290,"Verstand und Vernunft haben also zwei verschiedene Gesetzgebungen auf einem und demselben Boden der Erfahrung, ohne daß eine der anderen Eintrag thun darf. Denn so wenig der Naturbegriff auf die Gesetzgebung durch den Freiheitsbegriff Einfluß hat, eben so wenig stört dieser die Gesetzgebung der Natur. - Die Möglichkeit, das Zusammenbestehen beider Gesetzgebungen und der dazu gehörigen Vermögen in demselben Subject sich wenigstens ohne Widerspruch zu denken, bewies die Kritik der reinen Vernunft, indem sie die Einwürfe dawider durch Aufdeckung des dialektischen Scheins in denselben vernichtete.",6
6.187,"Dieser Glaube enthält eigentlich kein Geheimniß, weil er lediglich das moralische Verhalten Gottes zum menschlichen Geschlechte ausdrückt; auch bietet er sich aller menschlichen Vernunft von selbst dar und wird daher in der Religion der meisten gesitteten Völker angetroffen *) . Er liegt in dem Begriffe eines Volks als eines gemeinen Wesens, worin eine solche dreifache obere Gewalt ( pouvoir ) jederzeit gedacht werden muß, nur daß dieses hier als ethisch vorgestellt wird, daher diese dreifache Qualität des moralischen Oberhaupts des menschlichen Geschlechts in einem und demselben Wesen vereinigt gedacht werden kann, die in einem juridisch-bürgerlichen Staate nothwendig unter drei verschiedenen Subjecten vertheilt sein müßte.† *)",0
6.654,"Zu Erhaltung des Staats gehört auch noch ein drittes: nämlich das Recht der Aufsicht ( ius inspectionis ), daß ihm nämlich keine Verbindung, die aufs öffentliche Wohl der Gesellschaft ( publicum ) Einfluß haben kann, (von Staats- oder Religions-Illuminaten) verheimlicht, sondern, wenn es von der Polizei verlangt wird, die Eröffnung ihrer Verfassung nicht geweigert werde. Die aber der Untersuchung der Privatbehausung eines jeden ist nur ein Nothfall der Polizei, wozu sie durch eine höhere Autorität in jedem besonderen Falle berechtigt werden muß.",4
6.720,"Man kann einen solchen Verein einiger Staaten, um den Frieden zu erhalten, den permanenten Staatencongreß nennen, zu welchem sich zu gesellen jedem benachbarten unbenommen bleibt; dergleichen (wenigstens was die Förmlichkeiten des Völkerrechts in Absicht auf Erhaltung des Friedens betrifft) in der ersten Hälfte dieses Jahrhunderts in der Versammlung der Generalstaaten im Haag noch statt fand; wo die Minister der meisten europäischen Höfe und selbst der kleinsten Republiken ihre Beschwerden über die Befehdungen, die einem von dem anderen widerfahren waren, anbrachten und so sich ganz Europa als einen einzigen föderirten Staat dachten, den sie in jener ihren öffentlichen Streitigkeiten gleichsam als Schiedsrichter annahmen, statt dessen späterhin das Völkerrecht bloß in Büchern übrig geblieben, aus Cabinetten aber verschwunden, oder nach schon verübter Gewalt in Form der Deductionen der Dunkelheit der Archive anvertrauet worden ist.",5
8.443,"Die menschliche Natur erscheint nirgend weniger liebenswürdig, als im Verhältnisse ganzer Völker gegen einander. Kein Staat ist gegen den andern wegen seiner Selbstständigkeit oder seines Eigenthums einen Augenblick gesichert. Der Wille einander zu unterjochen oder an dem Seinen zu schmälern ist jederzeit da; und die Rüstung zur Vertheidigung, die den Frieden oft noch drückender und für die innere Wohlfahrt zerstörender macht, als selbst den Krieg, darf nie nachlassen. Nun ist hierwider kein anderes Mittel, als ein auf öffentliche mit Macht begleitete Gesetze, denen sich jeder Staat unterwerfen müßte, gegründetes Völkerrecht (nach der Analogie eines bürgerlichen oder Staatsrechts einzelner Menschen) möglich; - denn ein daurender allgemeiner Friede durch die so genannte Balance der Mächte in Europa ist, wie Swifts haus, welches von einem Baumeister so vollkommen nach allen Gesetzen des Gleichgewichts erbauet war, daß, als sich ein Sperling drauf setzte, es sofort einfiel, ein bloßes Hirngespinst. - Aber solchen Zwangsgesetzen, wird man sagen, werden sich Staaten doch nie unterwerfen; und der Vorschlag zu einem allgemeinen Völkerstaat, unter dessen Gewalt sich alle einzelne Staaten freiwillig bequemen sollen, um seinen Gesetzen zu gehorchen, mag in der Theorie eines Abbß von St. Pierre, oder eines Rousseau noch so artig klingen, so gilt er doch nicht für die Praxis; wie er denn auch von großen Staatsmännern, mehr aber noch von Staatsoberhäuptern als eine pedantisch-kindische aus der Schule hervorgetretene Idee jederzeit ist verlacht worden.",5
8.496,"Denn alsdann wäre er ja ein bloßer Waffenstillstand, Aufschub der Feindseligkeiten, nicht Friede, der das Ende aller Hostilitäten bedeutet, und dem das Beiwort ewig anzuhängen ein schon verdächtiger Pleonasm ist. Die vorhandene, obgleich jetzt vielleicht den Paciscirenden selbst noch nicht bekannte, Ursachen zum künftigen Kriege sind durch den Friedensschluß insgesammt vernichtet, sie mögen auch aus archivarischen Documenten mit noch so scharfsichtiger Ausspähungsgeschicklichkeit ausgeklaubt sein. - Der Vorbehalt ( reservatio mentalis ) alter allererst künftig auszudenkender Prätensionen, deren kein Theil für jetzt Erwähnung thun mag, weil beide zu sehr erschöpft sind, den Krieg fortzusetzen, bei dem bösen Willen, die erste günstige Gelegenheit zu diesem Zweck zu benutzen, gehört zur Jesuitencasuistik und ist unter der Würde der Regenten, so wie die Willfährigkeit zu dergleichen Deductionen unter der Würde eines Ministers desselben, wenn man die Sache, wie sie an sich selbst ist, beurtheilt.",4
8.64,"Aber auch nur derjenige, der, selbst aufgeklärt, sich nicht vor Schatten fürchtet, zugleich aber ein wohldisciplinirtes zahlreiches Heer zum Bürgen der öffentlichen Ruhe zur Hand hat, kann das sagen, was ein Freistaat nicht wagen darf: räsonnirt, so viel ihr wollt, und worüber ihr wollt; nur gehorcht! So zeigt sich hier ein befremdlicher, nicht erwarteter Gang menschlicher Dinge; so wie auch sonst, wenn man ihn im Großen betrachtet, darin fast alles paradox ist. Ein größerer Grad bürgerlicher Freiheit scheint der Freiheit des Geistes des Volks vortheilhaft und setzt ihr doch unübersteigliche Schranken; ein Grad weniger von jener verschafft hingegen diesem Raum, sich nach allem seinem Vermögen auszubreiten. Wenn denn die Natur unter dieser harten Hülle den Keim, für den sie am zärtlichsten sorgt, nämlich den Hang und Beruf zum freien Denken, ausgewickelt hat: so wirkt dieser allmählig zurück auf die Sinnesart des Volks (wodurch dieses der Freiheit zu handeln nach und nach fähiger wird) und endlich auch sogar auf die Grundsätze der Regierung, die es ihr selbst zuträglich findet, den Menschen, der nun mehr als Maschine ist, seiner Würde gemäß zu behandeln. *) Königsberg in Preußen, den 30. Septemb. 1784.",4
8.536,Der einzige Artikel dieser Art ist in dem Satze enthalten: Die Maximen der Philosophen über die Bedingungen der Möglichkeit des öffentlichen Friedens sollen von den zum Kriege gerüsteten Staaten zu Rathe gezogen werden.,6
8.422,"Ich glaube gern, daß weder Achenwall, noch irgend einer der wackeren Männer, die hierüber mit ihm einstimmig vernünftelt haben, je in irgend einem vorkommenden Fall zu so gefährlichen Unternehmungen ihren Rath oder Beistimmung würden gegeben haben; auch ist kaum zu bezweifeln, daß, wenn jene Empörungen, wodurch die Schweiz, die Vereinigten Niederlande, oder auch Großbritannien ihre jetzige für so glücklich gepriesene Verfassung errungen haben, mißlungen wären, die Leser der Geschichte derselben in der Hinrichtung ihrer jetzt so erhobenen Urheber nichts als verdiente Strafe großer Staatsverbrecher sehen würden. Denn der Ausgang mischt sich gewöhnlich in unsere Beurtheilung der Rechtsgründe, obzwar jener ungewiß war, diese aber gewiß sind. Es ist aber klar, daß, was die letzteren betrifft - wenn man auch einräumt, daß durch eine solche Empörung dem Landesherrn (der etwa eine joyeuse entrçe als einen wirklichen zum Grunde liegenden Vertrag mit dem Volk verletzt hätte) kein Unrecht geschähe, - das Volk doch durch diese Art ihr Recht zu suchen im höchsten Grade Unrecht gethan habe: weil dieselbe (zur Maxime angenommen) alle rechtliche Verfassung unsicher macht und den Zustand einer völligen Gesetzlosigkeit ( status naturalis ), wo alles Recht aufhört, wenigstens Effect zu haben, einführt. - Nur will ich bei diesem Hange so vieler wohldenkenden Verfasser dem Volk (zu seinem eigenen Verderben) das Wort zu reden bemerken: daß dazu theils die gewöhnliche Täuschung, wenn vom Princip des Rechts die Rede ist, das Princip der Glückseligkeit ihren Urtheilen unterzuschieben, die Ursache sei; theils auch, wo kein Instrument eines wirklich dem gemeinen Wesen vorgelegten, vom Oberhaupt desselben acceptirten und von beiden sanctionirten Vertrags anzutreffen ist, sie die Idee von einem ursprünglichen Vertrag, die immer in der Vernunft zum Grunde liegt, als Etwas, welches wirklich geschehen sein müsse, annahmen und so dem Volke immer die Befugniß zu erhalten meinten, davon bei einer groben, aber von ihm selbst dafür beurtheilten Verletzung nach seinem Gutdünken abzugehen *) .",6
8.519,"Da die Art, wie Staaten ihr Recht verfolgen, nie wie bei einem äußern Gerichtshofe der Proceß, sondern nur der Krieg sein kann, durch diesen aber und seinen günstigen Ausschlag, den Sieg, das Recht nicht entschieden wird, und durch den Friedensvertrag zwar wohl dem diesmaligen Kriege, aber nicht dem Kriegszustande (immer zu einem neuen Vorwand zu finden) ein Ende gemacht wird (den man auch nicht geradezu für ungerecht erklären kann, weil in diesem Zustande jeder in seiner eigenen Sache Richter ist), gleichwohl aber von Staaten nach dem Völkerrecht nicht eben das gelten kann, was von Menschen im gesetzlosen Zustande nach dem Naturrecht gilt, ""aus diesem Zustande herausgehen zu sollen"" (weil sie als Staaten innerlich schon eine rechtliche Verfassung haben und also dem Zwange anderer, sie nach ihren Rechtsbegriffen unter eine erweiterte gesetzliche Verfassung zu bringen, entwachsen sind), indessen daß doch die Vernunft vom Throne der höchsten moralisch gesetzgebenden Gewalt herab den Krieg als Rechtsgang schlechterdings verdammt, den Friedenszustand dagegen zur unmittelbaren Pflicht macht, welcher doch ohne einen Vertrag der Völker unter sich nicht gestiftet oder gesichert werden kann: - so muß es einen Bund von besonderer Art geben, den man den Friedensbund ( foedus pacificum ) nennen kann, der vom Friedensvertrag ( pactum pacis ) darin unterschieden sein würde, daß dieser bloß einen Krieg, jener aber alle Kriege auf immer zu endigen suchte. Dieser Bund geht auf keinen Erwerb irgend einer Macht des Staats, sondern lediglich auf Erhaltung und Sicherung der Freiheit eines Staats für sich selbst und zugleich anderer verbündeten Staaten, ohne da diese doch sich deshalb (wie Menschen im Naturzustande) öffentlichen Gesetzen und einem Zwange unter denselben unterwerfen dürfen. - Die Ausführbarkeit (objective Realität) dieser Idee der Föderalität, die sich allmählig über alle Staaten erstrecken soll und so zum ewigen Frieden hinführt, läßt sich darstellen. Denn wenn das Glück es so fügt: daß ein mächtiges und aufgeklärtes Volk sich zu einer Republik (die ihrer Natur nach zum ewigen Frieden geneigt sein muß) bilden kann, so giebt diese einen Mittelpunkt der föderativen Vereinigung für andere Staaten ab, um sich an sie anzuschließen und so den Freiheitszustand der Staaten gemäß der Idee des Völkerrechts zu sichern und sich durch mehrere Verbindungen dieser Art nach und nach immer weiter auszubreiten.",6
