ID,Absatz,Der Wille in der Welt existiert.
8.483,"Das Christenthum hat außer der größten Achtung, welche die Heiligkeit seiner Gesetze unwiderstehlich einflößt, noch etwas Liebenswürdiges in sich. (Ich meine hier nicht die Liebenswürdigkeit der Person, die es uns mit großen Aufopferungen erworben hat, sondern der Sache selbst: nämlich der sittlichen Verfassung, die Er stiftete; denn jene läßt sich nur aus dieser folgern.) Die Achtung ist ohne Zweifel das Erste, weil ohne sie auch keine wahre Liebe Statt findet; ob man gleich ohne Liebe doch große Achtung gegen Jemand hegen kann. Aber wenn es nicht bloß auf Pflichtvorstellung, sondern auch auf Pflichtbefolgung ankommt, wenn man nach dem subjectiven Grunde der Handlungen fragt, aus welchem, wenn man ihn voraussetzen darf, am ersten zu erwarten ist, was der Mensch thun werde, nicht bloß nach dem objectiven, was er thun soll: so ist doch die Liebe, als freie Aufnahme des Willens eines Andern unter seine Maximen, ein unentbehrliches Ergänzungsstück der Unvollkommenheit der menschlichen Natur (zu dem, was die Vernunft durchs Gesetz vorschreibt, genöthigt werden zu müssen): denn was Einer nicht gern thut, das thut er so kärglich, auch wohl mit sophistischen Ausflüchten vom Gebot der Pflicht, daß auf diese als Triebfeder ohne den Beitritt jener nicht sehr viel zu rechnen sein möchte.",1
9.2280,"Der Mensch hat aber von Natur einen so großen Hang zur Freiheit, daß, wenn er erst eine Zeit lang an sie gewöhnt ist, er ihr Alles aufopfert. Eben daher muß denn die Disciplin auch, wie gesagt, sehr frühe in Anwendung gebracht werden, denn wenn das nicht geschieht, so ist es schwer, den Menschen nachher zu ändern. Er folgt dann jeder Laune. Man sieht es auch an den wilden Nationen, daß, wenn sie gleich den Europäern längere Zeit hindurch Dienste thun, sie sich doch nie an ihre Lebensart gewöhnen. Bei ihnen ist dieses aber nicht ein edler Hang zur Freiheit, wie Rousseau und Andere meinen, sondern eine gewisse Rohigkeit, indem das Thier hier gewissermaßen die Menschheit noch nicht in sich entwickelt hat. Daher muß der Mensch frühe gewöhnt werden, sich den Vorschriften der Vernunft zu unterwerfen. Wenn man ihm in der Jugend seinen Willen gelassen und ihm da nichts widerstanden hat: so behält er eine gewisse Wildheit durch sein ganzes Leben. Und es hilft denen auch nicht, die durch allzugroße mütterliche Zärtlichkeit in der Jugend geschont werden, denn es wird ihnen weiterhin nur desto mehr von allen Seiten her widerstanden, und überall bekommen sie Stöße, sobald sie sich in die Geschäfte der Welt einlassen.",3
4.1047,Der Begriff der Freiheit ist der Schlüssel zur Erklärung der Autonomie des Willens.,4
2.195,1. Begriff der absolut nothwendigen Existenz überhaupt.,6
4.1051,Freiheit muß als Eigenschaft des Willens aller vernünftigen Wesen vorausgesetzt werden.,3
6.62,IV. Vom Ursprunge des Bösen in der menschlichen Natur.,0
3.646,Die Welt hat einen Anfang in der Zeit und ist dem Raume nach auch in Grenzen eingeschlossen.,0
5.921,"§ 84. Von dem Endzwecke des Daseins einer Welt, d. i. der Schöpfung selbst.",0
6.32,I. Von der ursprünglichen Anlage zum Guten in der menschlichen Natur.,0
6.117,Erste Abtheilung. Philosophische Vorstellung des Sieges des guten Princips unter Gründung eines Reichs Gottes auf Erden.,0
6.884,Von der Tugend überhaupt.,0
8.492,Zum ewigen Frieden.,0
3.652,"Die Welt hat keinen Anfang und keine Grenzen im Raume, sondern ist sowohl in Ansehung der Zeit als des Raums unendlich.",0
9.2180,Das Vorgebirge der guten Hoffnung.,0
6.34,"1. Die Anlage für die Thierheit des Menschen, als eines lebenden;",0
9.419,"Die Idee ist ein Vernunftbegriff, deren Gegenstand gar nicht in der Erfahrung kann angetroffen werden.",0
2.391,"Zweiter Abschnitt, In welchem Beispiele aus der Weltweisheit angeführt werden, darin der Begriff der negativen Größen vorkommt.",0
9.167,"4) die ästhetische Gewißheit. Diese beruht auf dem, was dem Zeugnisse der Sinne zufolge nothwendig ist, d. i. was durch Empfindung und Erfahrung bestätigt wird.",0
2.290,"2. Nothwendige Ordnung der Natur bezeichnet selbst einen Urheber der Materie, die so geordnet ist.",0
7.438,"Von der unwillkürlichen Dichtung im gesunden Zustande, d. i. vom Traume.",4
3.359,"Bei allem Wechsel der Erscheinungen beharrt die Substanz, und das Quantum derselben wird in der Natur weder vermehrt noch vermindert.",6
2.205,5. Das nothwendige Wesen ist unveränderlich und ewig.,0
1.479,"Wir sind in dem Mittelpunkte der artigsten Aufgaben, welche die abstracte Mechanik vorher niemals hat gewähren können.",0
2.110,2. Vernünftig ist ein Merkmal der menschlichen Seele;,0
8.151,"Der Begriff einer Race ist also: der Klassenunterschied der Thiere eines und desselben Stammes, so fern er unausbleiblich erblich ist.",0
9.1706,"Der Mensch sollte unter diesen billig die erste Classe einnehmen, aber seine Vernunft erhebt ihn über die Thiergattungen zu weit.",0
1.14,"Nach so großen Bemühungen, die sich die größten Männer um die Freiheit des menschlichen Verstandes gegeben haben, sollte man da wohl Ursache haben zu befürchten, daß ihnen der Erfolg derselben mißfallen werde?",5
4.531,"Was sich der numerischen Identität seiner selbst in verschiedenen Zeiten bewußt ist, ist so fern eine Person: Nun ist die Seele etc. Also ist sie eine Person.",0
6.126,III. Der Begriff eines ethischen gemeinen Wesens ist der Begriff von einem Volke Gottes unter ethischen Gesetzen.,0
6.166,"Es ist also eine nothwendige Folge der physischen und zugleich der moralischen Anlage in uns, welche letztere die Grundlage und zugleich Auslegerin aller Religion ist, daß diese endlich von allen empirischen Bestimmungsgründen, von allen Statuten, welche auf Geschichte beruhen, und die vermittelst eines Kirchenglaubens provisorisch die Menschen zur Beförderung des Guten vereinigen, allmählig losgemacht werde, und so reine Vernunftreligion zuletzt über alle herrsche, ""damit Gott sei alles in allem."" - Die Hüllen, unter welchen der Embryo sich zuerst zum Menschen bildete, müssen abgelegt werden, wenn er nun an das Tageslicht treten soll. Das Leitband der heiligen Überlieferung mit seinen Anhängseln, den Statuten und Observanzen, welches zu seiner Zeit gute Dienste that, wird nach und nach entbehrlich, ja endlich zur Fessel, wenn er in das Jünglingsalter eintritt. So lange er (die Menschengattung) ""ein Kind war, war er klug als ein Kind"" und wußte mit Satzungen, die ihm ohne sein Zuthun auferlegt worden, auch wohl Gelehrsamkeit, ja sogar eine der Kirche dienstbare Philosophie zu verbinden; ""nun er aber ein Mann wird, legt er ab, was kindisch ist."" Der erniedrigende Unterschied zwischen Laien und Klerikern hört auf, und Gleichheit entspringt aus der wahren Freiheit, jedoch ohne Anarchie, weil ein jeder zwar dem (nicht statutarischen) Gesetz gehorcht, das er sich selbst vorschreibt, das er aber auch zugleich als den ihm durch die Vernunft geoffenbarten Willen des Weltherrschers ansehen muß, der alle unter einer gemeinschaftlichen Regierung unsichtbarer Weise in einem Staate verbindet, welcher durch die sichtbare Kirche vorher dürftig vorgestellt und vorbereitet war. - Das alles ist nicht von einer äußeren Revolution zu erwarten, die stürmisch und gewaltsam ihre von Glücksumständen sehr abhängige Wirkung thut, in welcher, was bei der Gründung einer neuen Verfassung einmal versehen worden, Jahrhunderte hindurch mit Bedauern beibehalten wird, weil es nicht mehr, wenigstens nicht anders, als durch eine neue (jederzeit gefährliche) Revolution abzuändern ist. - In dem Princip der reinen Vernunftreligion, als einer an alle Menschen beständig geschehenden göttlichen (obzwar nicht empirischen) Offenbarung, muß der Grund zu jenem Überschritt zu jener neuen Ordnung der Dinge liegen, welcher, einmal aus reifer Überlegung gefaßt, durch allmählig fortgehende Reform zur Ausführung gebracht wird, so fern sie ein menschliches Werk sein soll; denn was Revolutionen betrifft, die diesen Fortschritt abkürzen können, so bleiben sie der Vorsehung überlassen und lassen sich nicht planmäßig der Freiheit unbeschadet einleiten.",2
6.167,"Man kann aber mit Grunde sagen: ""daß das Reich Gottes zu uns gekommen sei,"" wenn auch nur das Princip des allmähligen Überganges des Kirchenglaubens zur allgemeinen Vernunftreligion und so zu einem (göttlichen) ethischen Staat auf Erden allgemein und irgendwo auch öffentlich Wurzel gefaßt hat: obgleich die wirkliche Errichtung desselben noch in unendlicher Weite von uns entfernt liegt. Denn weil dieses Princip den Grund einer continuirlichen Annäherung zu dieser Vollkommenheit enthält, so liegt in ihm als in einem sich entwickelnden und in der Folge wiederum besamenden Keime das Ganze (unsichtbarer Weise), welches dereinst die Welt erleuchten und beherrschen soll. Das Wahre und Gute aber, wozu in der Naturanlage jedes Menschen der Grund sowohl der Einsicht als des Herzensantheils liegt, ermangelt nicht, wenn es einmal öffentlich geworden, vermöge der natürlichen Affinität, in der es mit der moralischen Anlage vernünftiger Wesen überhaupt steht, sich durchgängig mitzutheilen. Die Hemmungen durch politische bürgerliche Ursachen, die seiner Ausbreitung von Zeit zu Zeit zustoßen mögen, dienen eher dazu, die Vereinigung der Gemüther zum Guten (was, nachdem sie es einmal ins Auge gefaßt haben, ihre Gedanken nie verläßt) noch desto inniglicher zu machen. *)",6
6.1077,"Es fällt nicht von selbst in die Augen: daß ein solches Gesetz überhaupt in der Vernunft liege; vielmehr scheint die Maxime: ""Ein jeder für sich, Gott (das Schicksal) für uns alle,"" die natürlichste zu sein.",0
7.171,"Es muß etwas Moralisches im Grundsatze sein, welches die Vernunft als rein, zugleich aber auch wegen des großen und Epoche machenden Einflusses als etwas, das die dazu anerkannte Pflicht der Seele des Menschen vor Augen stellt, und das menschliche Geschlecht im Ganzen seiner Vereinigung ( non singulorum, sed universorum ) angeht, dessen verhofftem Gelingen und den Versuchen zu demselben es mit so allgemeiner und uneigennütziger Theilnehmung zujauchzt. -Diese Begebenheit ist das Phänomen nicht einer Revolution, sondern (wie es Hr. Erhard ausdrückt) der Evolution einer naturrechtlichen Verfassung, die zwar nur unter wilden Kämpfen noch nicht selbst errungen wird - indem der Krieg von innen und außen alle bisher bestandene statutarische zerstört -, die aber doch dahin führt, zu einer Verfassung hinzustreben, welche nicht kriegssüchtig sein kann, nämlich der republicanischen; die es entweder selbst der Staatsform nach sein mag, oder auch nur nach der Regierungsart, bei der Einheit des Oberhaupts (des Monarchen) den Gesetzen analogisch, die sich ein Volk selbst nach allgemeinen Rechtsprincipien geben würde, den Staat verwalten zu lassen.",6
8.347,Erstlich die Heiligkeit desselben als Gesetzgebers (Schöpfers) im Gegensatze mit dem Moralisch-Bösen in der Welt.,0
8.633,"Unter diesen Ideen führt also die mittlere, nämlich die der Freiheit, weil die Existenz derselben in dem kategorischen Imperativ enthalten ist, der keinem Zweifel Raum läßt, die zwei übrigen in ihrem Gefolge bei sich; indem er, das oberste Princip der Weisheit, folglich auch den Endzweck des vollkommensten Willens (die höchste mit der Moralität zusammenstimmende Glückseligkeit) voraussetzend, bloß die Bedingungen enthält, unter welchen allein diesem Genüge geschehen kann. Denn das Wesen, welches diese proportionirte Austheilung allein zu vollziehen vermag, ist Gott; und der Zustand, in welchem diese Vollziehung an vernünftigen Weltwesen allein jenem Endzweck völlig angemessen verrichtet werden kann, die Annahme einer schon in ihrer Natur begründeten Fortdauer des Lebens, d. i. die Unsterblichkeit. Denn wäre die Fortdauer des Lebens darin nicht begründet, so würde sie nur Hoffnung eines künftigen, nicht aber ein durch Vernunft (im Gefolge des moralischen Imperativs) nothwendig vorauszusetzendes künftiges Leben bedeuten.",2
6.88,"Das Ideal der Gott wohlgefälligen Menschheit (mithin einer moralischen Vollkommenheit, so wie sie an einem von Bedürfnissen und Neigungen abhängigen Weltwesen möglich ist) können wir uns nun nicht anders denken, als unter der Idee eines Menschen, der nicht allein alle Menschenpflicht selbst auszuüben, zugleich auch durch Lehre und Beispiel das Gute in größtmöglichem Umfange um sich auszubreiten, sondern auch, obgleich durch die größten Anlockungen versucht, dennoch alle Leiden bis zum schmählichsten Tode um des Weltbesten willen und selbst für seine Feinde zu übernehmen bereitwillig wäre. - Denn der Mensch kann sich keinen Begriff von dem Grade und der Stärke einer Kraft, dergleichen die einer moralischen Gesinnung ist, machen, als wenn er sie mit Hindernissen ringend und unter den größtmöglichen Anfechtungen dennoch überwindend sich vorstellt.",3
9.2154,Charakter der Nation in Sibirien.,0
7.551,Von der sinnlichen Lust.,0
9.2186,Producte des Landes.,0
8.159,Muthmaßlicher Anfang der Menschengeschichte.,0
9.2224,Der dritte Welttheil. Europa.,0
9.2179,Der zweite Welttheil. Afrika.,0
8.647,Über ein vermeintes Recht aus Menschenliebe zu lügen.,0
8.646,Über ein vermeintes Recht aus Menschenliebe zu lügen.,0
9.2225,Die europäische Türkei. Bulgarien.,0
9.1241,Die vornehmste dieser Inseln ist: die Insel Male.,0
6.881,1) Es ist nur eine Tugend und nur ein Laster.,0
7.645,"Von den Affecten, durch welche die Natur die Gesundheit mechanisch befördert.",0
9.2051,Sitten und Charakter der Nation.,0
9.613,"Was unter der Bedingung einer Regel steht, das steht auch unter der Regel selbst.",0
7.590,Der Geschmack enthält eine Tendenz zur äußeren Beförderung der Moralität.,0
9.2184,Naturbeschaffenheit des Landes.,0
1.677,Die Begebenheiten des Menschen in dem künftigen Leben.,0
9.2143,Naturbeschaffenheit.,0
1.1116,Von dem Zusammenhange der Erdbeben mit den Jahreszeiten.,0
9.1542,§. 78. Versuch der gründlichen Erklärungsart der alten Geschichte der Erde.,0
9.487,"§. 21. Quantität der Urtheile: Allgemeine, Besondre, Einzelne.",0
9.981,Abhandlung der physischen Geographie.,0
6.934,Erstes Buch. Von den volkommenen Pflichten gegen sich selbst.,0
7.49,A. Eigenthümlichkeit der theologischen Facultät.,0
5.195,II. Kritische Aufhebung der Antinomie der praktischen Vernunft.,0
1.651,Inhalt des ganzen Werks.,0
1.1090,Das Erdbeben vom 18ten Novembr.,0
6.358,Anhang zur Einleitung in die Rechtslehre.,0
5.834,"§ 73. Keines der obigen Systeme leistet das, was es vorgiebt.",0
9.1247,"1. Die Landrücken, 2. Die Bassins und 3. Die Platteformen.",0
9.1414,§. 58. Von den ansehnlichsten Flüssen der Erde.,0
7.548,Zweites Buch. Das Gefühl der Lust und Unlust.,6
9.1572,§. 1. Der Unterschied der Bildung und Farbe der Menschen in den verschiedenen Erdstrichen.,0
7.708,"1) Der Charakter der Person, 2) der Charakter des Geschlechts, 3) der Charakter des Volks, 4) der Charakter der Gattung.",0
9.678,§. 74. Allgemeine Resultate über die drei letztern Figuren.,0
