ID,Absatz,freier Wille
6.98,"Nun könnte man zwar den hierüber besorgten Menschen mit seinem Wunsche dahin verweisen: ""Sein (Gottes) Geist giebt Zeugniß unserm Geist"" u. s. w., d. i. wer eine so lautere Gesinnung, als gefordert wird, besitzt, wird von selbst schon fühlen, daß er nie so tief fallen könne, das Böse wiederum lieb zu gewinnen; allein es ist mit solchen vermeinten Gefühlen übersinnlichen Ursprungs nur mißlich bestellt; man täuscht sich nirgends leichter, als in dem, was die gute Meinung von sich selbst begünstigt. Auch scheint es nicht einmal rathsam zu sein, zu einem solchen Vertrauen aufgemuntert zu werden, sondern vielmehr zuträglicher (für die Moralität), ""seine Seligkeit mit Furcht und Zittern zu schaffen"" (ein hartes Wort, welches, mißverstanden, zur finstersten Schwärmerei antreiben kann); allein ohne alles Vertrauen zu seiner einmal angenommenen Gesinnung würde kaum eine Beharrlichkeit, in derselben fortzufahren, möglich sein. Dieses findet sich aber, ohne sich der süßen oder angstvollen Schwärmerei zu überliefern, aus der Vergleichung seines bisher geführten Lebenswandels mit seinem gefaßten Vorsatze. - Denn der Mensch, welcher von der Epoche der angenommenen Grundsätze des Guten an ein genugsam langes Leben hindurch die Wirkung derselben auf die That, d. i. auf seinen zum immer Besseren fortschreitenden Lebenswandel, wahrgenommen hat und daraus auf eine gründliche Besserung in seiner Gesinnung nur vermuthungsweise zu schließen Anlaß findet, kann doch auch vernünftigerweise hoffen, daß, da dergleichen Fortschritte, wenn ihr Princip nur gut ist, die Kraft zu den folgenden immer noch vergrößern, er in diesem Erdenleben diese Bahn nicht mehr verlassen, sondern immer noch muthiger darauf fortrücken werde, ja, wenn nach diesem ihm noch ein anderes Leben bevorsteht, er unter andern Umständen allem Ansehen nach doch nach eben demselben Princip fernerhin darauf fortfahren und sich dem, obgleich unerreichbaren Ziele der Vollkommenheit immer noch nähern werde, weil er nach dem, was er bisher an sich wahrgenommen hat, seine Gesinnung für von Grunde aus gebessert halten darf. Dagegen der, welcher selbst bei oft versuchtem Vorsatze zum Guten dennoch niemals fand, daß er dabei Stand hielt, der immer ins Böse zurückfiel, oder wohl gar im Fortgange seines Lebens an sich wahrnehmen mußte, aus dem Bösen ins Ärgere gleichsam als auf einem Abhange immer tiefer gefallen zu sein, vernünftigerweise sich keine Hoffnung machen kann, daß, wenn er noch länger hier zu leben hätte, oder ihm auch ein künftiges Leben bevorstände, er es besser machen werde, weil er bei solchen Anzeigen das Verderben als in seiner Gesinnung gewurzelt ansehen müßte. Nun ist das erstere ein Blick in eine unabsehliche, aber gewünschte und glückliche Zukunft, das zweite dagegen in ein eben so unabsehliches Elend, d. i. beides für Menschen nach dem, was sie urtheilen können, in eine selige oder unselige Ewigkeit: Vorstellungen, die mächtig genug sind, um dem einen Theil zur Beruhigung und Befestigung im Guten, dem andern zur Aufweckung des richtigen Gewissens, um dem Bösen so viel möglich noch Abbruch zu thun, mithin zu Triebfedern zu dienen, ohne daß es nöthig ist, auch objectiv eine Ewigkeit des Guten oder Bösen für das Schicksal des Menschen dogmatisch als Lehrsatz vorauszusetzen *) , mit welchen vermeinten Kenntnissen und Behauptungen die Vernunft nur die Schranken ihrer Einsicht überschreitet. Die gute und lautere Gesinnung (die man einen guten uns regierenden Geist nennen kann), deren man sich bewußt ist, führt also auch das Zutrauen zu ihrer Beharrlichkeit und Festigkeit, obzwar nur mittelbar, bei sich und ist der Tröster (Paraklet), wenn uns unsere Fehltritte wegen ihrer Beharrlichkeit besorgt machen. Gewißheit in Ansehung derselben ist dem Menschen weder möglich, noch, so viel wir einsehen, moralisch zuträglich. Denn (was wohl zu merken ist) wir können dieses Zutrauen nicht auf ein unmittelbares Bewußtsein der Unveränderlichkeit unserer Gesinnungen gründen, weil wir diese nicht durchschauen können, sondern wir müssen allenfalls nur aus den Folgen derselben im Lebenswandel auf sie schließen, welcher Schluß aber, weil er nur aus Wahrnehmungen als Erscheinungen der guten und bösen Gesinnung gezogen worden, vornehmlich die Stärke derselben niemals mit Sicherheit zu erkennen giebt, am wenigsten, wenn man seine Gesinnung gegen das vorausgesehene nahe Ende des Lebens gebessert zu haben meint, da jene empirische Beweise der Ächtheit derselben gar mangeln, indem kein Lebenswandel zur Begründung des Urtheilsspruchs unsers moralischen Werths mehr gegeben ist, und Trostlosigkeit (dafür aber die Natur des Menschen bei der Dunkelheit aller Aussichten über die Grenzen dieses Lebens hinaus schon von selbst sorgt, daß sie nicht in wilde Verzweiflung ausschlage) die unvermeidliche Folge von der vernünftigen Beurtheilung seines sittlichen Zustandes ist.",
4.1142,Lehrsatz.,
4.25,Inhalt.,
2.577,1765,
2.789,1775,
2.675,1768,
1.1048,1756,
1.577,1754,
2.71,1759,
8.578,1796,
2.592,1766,
2.153,1763,
8.691,1764,
4.897,"Probe eines Urtheils über die Kritik, das vor der Untersuchung vorhergeht.",
9.1508,"Vierter Abschnitt. Geschichte der großen Veränderungen, welche die Erde ehedeß erlitten hat und noch erleidet.",
6.203,Erster Theil. Vom Dienst Gottes in einer Religion überhaupt.,
6.1016,Zweiter Abschnitt. Von dem ersten Gebot aller Pflichten gegen sich selbst.,
9.640,"Das Princip, worauf die Möglichkeit und Gültigkeit aller kategorischen Vernunftschlüsse beruht, ist dieses:",
2.90,"ihn unter denselben, Ihn aber hält am ernsten Orte, Der nichts zurücke läßt, Die Ewigkeit mit starken Armen fest. Haller.",
9.2274,"Der Mensch ist das einzige Geschöpf, das erzogen werden muß. Unter der Erziehung nämlich verstehen wir die Wartung (Verpflegung, Unterhaltung), Disciplin (Zucht) und Unterweisung nebst der Bildung. Dem zufolge ist der Mensch Säugling, - Zögling - und Lehrling.",
6.858,XII. Ästhetische Vorbegriffe der Empfänglichkeit des Gemüths für Pflichtbegriffe überhaupt.,
2.349,1. Eintheilung aller möglichen Beweisgründe vom Dasein Gottes.,
7.708,"1) Der Charakter der Person, 2) der Charakter des Geschlechts, 3) der Charakter des Volks, 4) der Charakter der Gattung.",
6.359,Vom zweideutigen Recht. ( Ius aequivocum. ),
8.337,Über das Mißlingen aller philosophischen Versuche in der Theodicee.,
7.196,Grundsatz der Diätetik.,
1.1004,"3) Non amplius est in rationato, quam est in ratione. Ex eadem liquet regula.",
3.76,Metaphysische Erörterung dieses Begriffs.,
5.544,Deduction der reinen ästhetischen Urtheile.,
2.800,3. Von den unmittelbaren Ursachen des Ursprungs dieser verschiedenen Racen.,
1.965,PROP. V. Nihil est verum sine ratione determinante.,
8.216,Über den Gebrauch teleologischer Principien in der Philosophie.,
9.2120,Die Inseln Nicobar und Andaman,
