ID,Absatz,Gibt es einen Grund für das Handeln?
5.919,"Die Geschicklichkeit kann in der Menschengattung nicht wohl entwickelt werden, als vermittelst der Ungleichheit unter Menschen: da die größte Zahl die Nothwendigkeit des Lebens gleichsam mechanisch, ohne dazu besonders Kunst zu bedürfen, zur Gemächlichkeit und musse anderer besorgt, welche die minder nothwendigen Stücke der Cultur, Wissenschaft und Kunst, bearbeiten, und von diesen in einem Stande des Drucks, saurer Arbeit und wenig Genusses gehalten wird, auf welche Classe sich denn doch manches von der Cultur der höhern nach und nach auch verbreitet. Die Plagen aber wachsen im Fortschritte derselben (dessen Höhe, wenn der Hang zum Entbehrlichen schon dem Unentbehrlichen Abbruch zu thun anfängt, Luxus heißt) auf beiden Seiten gleich mächtig, auf der einen durch fremde Gewaltthätigkeit, auf der andern durch innere Ungenügsamkeit; aber das glänzende Elend ist doch mit der Entwickelung der Naturanlagen in der Menschengattung verbunden, und der Zweck der Natur selbst, wenn es gleich nicht unser Zweck ist, wird doch hiebei erreicht. Die formale Bedingung, unter welcher die Natur diese ihre Endabsicht allein erreichen kann, ist diejenige Verfassung im Verhältnisse der Menschen untereinander, wo dem Abbruche der einander wechselseitig widerstreitenden Freiheit gesetzmäßige Gewalt in einem Ganzen, welches bürgerliche Gesellschaft heißt, entgegengesetzt wird; denn nur in ihr kann die größte Entwickelung der Naturanlagen geschehen. Zu derselben wäre aber doch, wenn gleich Menschen sie auszufinden klug und sich ihrem Zwange willig zu unterwerfen weise genug wären, noch ein weltbürgerliches Ganze, d. i. ein System aller Staaten, die auf einander nachtheilig zu wirken in Gefahr sind, erforderlich. In dessen Ermangelung und bei dem Hinderniß, welches Ehrsucht, Herrschsucht und Habsucht vornehmlich bei denen, die Gewalt in Händen haben, selbst der Möglichkeit eines solchen Entwurfs entgegen setzen, ist der Krieg (theils in welchem sich Staaten zerspalten und in kleinere auflösen, theils ein Staat andere, kleinere mit sich vereinigt und ein größeres Ganze zu bilden strebt) unvermeidlich: der, so wie er ein unabsichtlicher (durch zügellose Leidenschaften angeregter) Versuch der Menschen, doch tief verborgener, vielleicht absichtlicher der obersten Weisheit ist, Gesetzmäßigkeit mit der Freiheit der Staaten und dadurch Einheit eines moralisch begründeten Systems derselben, wo nicht zu stiften, dennoch vorzubereiten und ungeachtet der schrecklichsten Drangsale, womit er das menschliche Geschlecht belegt, und der vielleicht noch größern, womit die beständige Bereitschaft dazu im Frieden drückt, dennoch eine Triebfeder mehr ist (indessen die Hoffnung zu dem Ruhestande einer Volksglückseligkeit sich immer weiter entfernt) alle Talente, die zur Cultur dienen, bis zum höchsten Grade zu entwickeln.",2
7.180,"Allmählich wird der Gewaltthätigkeit von Seiten der mächtigen weniger, der Folgsamkeit in Ansehung der Gesetze mehr werden. Es wird etwa mehr Wohlthätigkeit, weniger Zank in Processen, mehr Zuverlässigkeit im Worthalten u.s.w. theils aus Ehrliebe, theils aus wohlverstandenem eigenen Vortheil im gemeinen Wesen entspringen und sich endlich dies auch auf die Völker im äußeren Verhältniß gegen einander bis zur weltbürgerlichen Gesellschaft erstrecken, ohne daß dabei die moralische Grundlage im Menschengeschlechte im mindesten vergrößert werden darf; als wozu auch eine Art von neuer Schöpfung (übernatürlicher Einfluß) erforderlich sein würde. -Denn wir müssen uns von Menschen in ihren Fortschritten zum Besseren auch nicht zu viel versprechen, um nicht in den Spott des Politikers mit Grunde zu verfallen, der die Hoffnung des ersteren gerne für Träumerei eines überspannten Kopfs halten möchte. *)",3
3.1102,"Es giebt aber auch keinen zulässigen sceptischen Gebrauch der reinen Vernunft, welchen man den Grundsatz der Neutralität bei allen ihren Streitigkeiten nennen könnte. Die Vernunft wider sich selbst zu verhetzen, ihr auf beiden Seiten Waffen zu reichen und alsdann ihrem hitzigsten Gefechte ruhig und spöttisch zuzusehen, sieht aus einem dogmatischen Gesichtspunkte nicht wohl aus, sondern hat das Ansehen einer schadenfrohen und hämischen Gemüthsart an sich. Wenn man indessen die unbezwingliche Verblendung und das Großthun der Vernünftler, die sich durch keine Kritik will mäßigen lassen, ansieht, so ist doch wirklich kein anderer Rath, als der Großsprecherei auf einer Seite eine andere, welche auf eben dieselben Rechte fußt, entgegen zu setzen, damit die Vernunft durch den Widerstand eines Feindes wenigstens nur stutzig gemacht werde, um in ihre Anmaßungen einigen Zweifel zu setzen und der Kritik Gehör zu geben. Allein es bei diesen Zweifeln gänzlich bewenden zu lassen und es darauf auszusetzen, die Überzeugung und das Geständniß seiner Unwissenheit nicht bloß als ein Heilmittel wider den dogmatischen Eigendünkel, sondern zugleich als die Art, den Streit der Vernunft mit sich selbst zu beendigen, empfehlen zu wollen, ist ein ganz vergeblicher Anschlag und kann keinesweges dazu tauglich sein, der Vernunft einen Ruhestand zu verschaffen, sondern ist höchstens nur ein Mittel, sie aus ihrem süßen dogmatischen Traume zu erwecken, um ihren Zustand in sorgfältigere Prüfung zu ziehen. Da indessen diese sceptische Manier, sich aus einem verdrießlichen Handel der Vernunft zu ziehen, gleichsam der kurze Weg zu sein scheint, zu einer beharrlichen philosophischen Ruhe zu gelangen, wenigstens die Heeresstraße, welche diejenigen gern einschlagen, die sich in einer spöttischen Verachtung aller Nachforschungen dieser Art ein philosophisches Ansehen zu geben meinen, so finde ich es nöthig, diese Denkungsart in ihrem eigenthümlichen Lichte darzustellen.",5
8.521,"Bei dem Begriffe des Völkerrechts, als eines Rechts zum Kriege, läßt sich eigentlich gar nichts denken (weil es ein Recht sein soll, nicht nach allgemein gültigen äußern, die Freiheit jedes Einzelnen einschränkenden Gesetzen, sondern nach einseitigen Maximen durch Gewalt, was Recht sei, zu bestimmen), es müßte denn darunter verstanden werden: daß Menschen, die so gesinnt sind, ganz recht geschieht, wenn sie sich unter einander aufreiben und also den ewigen Frieden in dem weiten Grabe finden, das alle Gräuel der Gewaltthätigkeit sammt ihren Urhebern bedeckt. - Für Staaten im Verhältnisse unter einander kann es nach der Vernunft keine andere Art geben, aus dem gesetzlosen Zustande, der lauter Krieg enthält, herauszukommen, als daß sie eben so wie einzelne Menschen ihre wilde (gesetzlose) Freiheit aufgeben, sich zu öffentlichen Zwangsgesetzen bequemen und so einen (freilich immer wachsenden) Völkerstaat ( civitas gentium ), der zuletzt alle Völker der Erde befassen würde, bilden. Da sie dieses aber nach ihrer Idee vom Völkerrecht durchaus nicht wollen, mithin, was in thesi richtig ist, in hypothesi verwerfen, so kann an die Stelle der positiven Idee einer Weltrepublik (wenn nicht alles verloren werden soll) nur das negative Surrogat eines den Krieg abwehrenden, bestehenden und sich immer ausbreitenden Bundes den Strom der rechtscheuenden, feindseligen Neigung aufhalten, doch mit beständiger Gefahr ihres Ausbruchs ( Furor impius intus - fremit horridus ore cruento. Virgil) *).",3
1.14,"Nach so großen Bemühungen, die sich die größten Männer um die Freiheit des menschlichen Verstandes gegeben haben, sollte man da wohl Ursache haben zu befürchten, daß ihnen der Erfolg derselben mißfallen werde?",3
9.696,Das Princip der disjunctiven Vernunftschlüsse ist der Grundsatz des ausschließenden Dritten:,0
5.524,"Erhaben ist das, was durch seinen Widerstand gegen das Interesse der Sinne unmittelbar gefällt.",5
7.741,"Von den Eigenschaften, die blos daraus folgen, daß der Mensch einen Charakter hat oder ohne Charakter ist.",0
9.177,"Der Horizont betrifft also die Beurtheilung und Bestimmung dessen, was der Mensch wissen kann, was er wissen darf, und was er wissen soll.",6
8.378,"Über den Gemeinspruch Das mag in der Theorie richtig sein, taugt aber nicht für die Praxis.",6
6.808,"III. Von dem Grunde sich einen Zweck, der zugleich Pflicht ist, zu denken.",4
6.696,"Dieses Recht scheint sich leicht darthun zu lassen; nämlich aus dem Rechte mit dem Seinen (Eigenthum) zu thun, was man will. Was jemand aber der Substanz nach selbst gemacht hat, davon hat er ein unbestrittenes Eigenthum. - Hier ist also die Deduction, so wie sie ein bloßer Jurist abfassen würde.",4
6.47,"Man wird bemerken: daß der Hang zum Bösen hier am Menschen, auch dem besten, (den Handlungen nach) aufgestellt wird, welches auch geschehen muß, wenn die Allgemeinheit des Hanges zum Bösen unter Menschen, oder, welches hier dasselbe bedeutet, daß er mit der menschlichen Natur verwebt sei, bewiesen werden soll.",2
8.54,Beantwortung der Frage: Was ist Aufklärung?,0
7.181,10. in welcher Ordnung allein kann der Fortschritt zum Besseren erwartet werden?,0
6.562,Der Büchernachdruck ist von rechtswegen verboten.,0
5.389,"Aus dem zweiten Moment gefolgerte Erklärung des Schönen. Schön ist das, was ohne Begriff allgemein gefällt.",0
9.311,Der erste Grad der Erkenntniß ist: sich etwas vorstellen;,0
9.248,"Was den Irrthum möglich macht, ist also der Schein, nach welchem im Urtheile das bloß Subjective mit dem Objectiven verwechselt wird.",0
9.621,"Die Erkenntniß, daß die Bedingung (irgendwo) stattfinde, ist die Subsumtion.",0
6.1032,Der Pflichten gegen sich selbst,3
5.445,§ 21. Ob man mit Grunde einen Gemeinsinn voraussetzen könne.,5
1.552,Nunmehr ist es leicht die Verwirrung in dem Musschenbroekischen Beweise zu verhüten.,0
5.345,"§ 2. Das Wohlgefallen, welches das Geschmacksurtheil bestimmt, ist ohne alles Interesse.",0
2.239,"2. Die Einheit im Mannigfaltigen der Wesen der Dinge, gewiesen an demjenigen, was in den Bewegungsgesetzen nothwendig ist.",0
7.97,"III. Einwürfe und Beantwortung derselben, die Grundsätze der Schriftauslegung betreffend.",0
6.228,§ 2. Das dem Religionswahne entgegengesetzte moralische Princip der Religion.,4
9.594,In Absicht auf die Verstandesschlüsse durch die Umkehrung gelten folgende Regeln:,6
9.2175,"Von dem Versuche, aus dem nordischen Eismeere eine Durchfahrt nach Indien zu suchen.",0
5.639,Eine Naturschönheit ist ein schönes Ding; die Kunstschönheit ist eine schöne Vorstellung von einem Dinge.,0
3.349,Das Princip derselben ist: Erfahrung ist nur durch die Vorstellung einer nothwendigen Verknüpfung der Wahrnehmungen möglich.,0
7.552,A. Vom Gefühl für das Angenehme oder der sinnlichen Lust in der Empfindung eines Gegenstandes.,0
6.566,Episodischer Abschnitt. Von der idealen Erwerbung eines äußeren Gegenstandes der Willkür.,0
4.937,2. Zweiter Abschnitt: Übergang von der populären Moralphilosophie zur Metaphysik der Sitten.,6
9.429,Anmerkung. Die Form eines Begriffs als einer discursiven Vorstellung ist jederzeit gemacht.,0
5.765,§ 63. Von der relativen Zweckmäßigkeit der Natur zum Unterschiede von der innern.,0
6.130,IV. Die Idee eines Volks Gottes ist (unter menschlicher Veranstaltung) nicht anders als in der Form einer Kirche auszuführen.,5
